topic,text,audio
初次见面···,我是七七，是个僵尸..啊，还要说什么来着。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/f2d7232800ba5d7846e0068a6aff9228_9167176409536717866.mp3
闲聊·自言自语,咦，刚刚···我想说什么来着···,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/1ddfed7625af855c6e747f998d8b669a_6913767198252740682.mp3
闲聊·怕热,想去凉快点的地方。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/2475dfc1cb22a8e735756ac0273f1cac_2798590115117992873.mp3
闲聊·锻炼,七二三四，七二三四···五六七七，五六七七···,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/37236a32e5d0f76d41b1130d315354fc_1641405458053317395.mp3
下雨的时候···,又忘记带伞了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/a633f60f4ab16b369c337ef79f1997bd_8666369089243339664.mp3
下雪的时候···,想堆雪人···可以陪我吗?,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/66818db11445194d25922c34a7aafc1c_5247827600077956262.mp3
阳光很好···,今天不该出门的。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/4ba64291d0a2f8c078d65d0cd656ebe9_8363626378131799353.mp3
起风的时候···,凉凉的，很舒服。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/0544b8a65bcb68c376f22183b5d32f36_738936519179490167.mp3
刮大风了···,拉手···拉手!要、要被吹跑了! ···,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/75b1fd8290919bb9599ecb0c82cd409c_8973958949369120356.mp3
早上好···,早上了吗?今天要做的是···我看看笔记。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/a4003bdaca73f44907c9ceb84fbd65b0_8720926878783271043.mp3
中午好···,···忘记帮白先生分拣药材了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/be92c6d99db3e3acc99c17a4e9e09582_7215502516536222417.mp3
