topic,text,audio
初次见面···,嗨，小可爱，你是新来的助理吗？啊？魔导师大人？那是很久以前的事啦，现在的我不过是一介图书管理员而已。放心吧，姐姐会照顾好你的。那么…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/e9657645297a30f0dd13a8722b24431c_7150931870931131478.mp3
早上好···,（哈欠）…早安，琴。嗯？不好意思，我看错了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/6ef4740fd88e2a7d2494cd986bf7d7fb_7324732990507901225.mp3
中午好···,午休时间到了…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/8c448d0f1d924745cb08efe14dc06a25_4596793729304143192.mp3
晚上好···,你还不睡吗？我已经困了呢…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/bcaa6bd7036f11c18a23ece51903ca63_8899518343302354406.mp3
晚安···,你努力的样子，姐姐全都见到了哦。嗯…让我想想，给你什么奖励吧…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/a5853bf1b4db741f578d4827c3b4e8e3_3668771402048007847.mp3
闲聊·下午茶,明明是该喝下午茶的时间。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/61e2e4f02c5884a9fd55e435cf104a2f_5817140800966223011.mp3
闲聊·任务,任务是做不完的，还不如陪姐姐…聊会儿天。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/c21f8f2c7c502f7372fec9deb7bafab8_2817868305354867176.mp3
闲聊·不宜出门,今天不宜出门嘛…欸，我昨天也是这么说的？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/61a8a14ef0e4a321026cb198adf933c3_5664861403461668312.mp3
下雨的时候···,这种天气，泡一杯茶，坐着看雨多好。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/9d1159d5aeaf62612aa7ba1c7e27c802_5182485570778395596.mp3
打雷的时候···,在雷雨天训练事半功倍哦~呵呵，骗你的,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/a6162d60228597a446c2ba2e6eba58ff_7508729445573604311.mp3
起风的时候···,天气真好，能躺下来补个觉就更好了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/ae3fa552d56b821125174d8e8b6b7071_66103961126401357.mp3
关于丽莎自己···,这可不是偷懒呀，谁不想用最省力的方法达到目的呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/b709a79891636087143fb01c86439d4d_8718296317552550298.mp3
关于我们·关系,你想把我当作你的老师、前辈，还是朋友？（笑）都可以哦。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/62918f78d2b5963d038d34d5cebaac9f_8448612424005148241.mp3
关于我们·本领,哎呀，再不拿出点真本事出来，就对不起你的努力了吧。嗯…也好也好。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/746ab0437c66ad3e7601c2ee1b378c8b_455815315682014094.mp3
关于我们·仪式,再等一下...（亲）...「将悔罪的记号吻在弟子的前额」……好了，那么仪式就完成了~今后你就是我丽莎的首席弟子了哟。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/a2886a416f27ba4e032a82353877f624_9167113887456435235.mp3
关于「神之眼」···,「神之眼」啊…那可是导引元素力所必要的装置呢。唯独在你身上却是例外。唔…究竟是什么原理呢，啊，有了，你...有空陪姐姐做个实验么？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/aa2280958fe4e040a3ad4901de86a7e2_3675097211785500214.mp3
有什么想要分享···,图书馆楼上的炼金工坊，可以随意使用哦？不过进去之前记得敲门，如果撞见什么不该见到的东西那就麻烦了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/33966bc4bd1289e899f74991519ee201_5900427699879343177.mp3
感兴趣的见闻···,嘟嘟莲是有着解毒功效的药草。有了它，就不用再担心魔药的副作用了…哼哼。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/d19ca80ad85704ce753db9b45439a71a_8036377638620083732.mp3
关于琴···,琴是个称职的好团长。看到她认真工作的样子，就连我也忍不住想要多帮她一把。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/70acf05e06c58bed016cb5426c9ec17d_2615978027697137689.mp3
关于安柏···,小安柏刚进骑士团的样子我还记得呢，一转眼都那么能干了。啊，再过几年，又会变成什么样呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/d223dbe3b0be527f27061a7922bdf4d3_1615653542722756695.mp3
关于芭芭拉···,芭芭拉的歌，你听过么？哼哼，听说她的旋律里有种治愈的魔力在流动喔。和我的魔药相比，不知道哪边更合你的胃口呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/b529e287008ef8f4b7af1ce7c3a1c263_665886041054271862.mp3
关于迪卢克···,哦？想听迪卢克的故事？那我知道一个更好的聊天对象。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/373999fc5fb9c1e709a166fa31891495_5745892343197914699.mp3
