topic,text,audio
闲聊·正鹄,只有保持心、弓、箭三位一体， 才能命中正鹄。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/27e45226e34397f74535e330647a35b8_5187195686466866646.mp3
闲聊·永恒,为将军大人实现「永恒」，这就是我的「愿望」。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/2556a36ed21816871560f2a77bbd3bf6_5358383959944215150.mp3
闲聊·使命,天狗的职责是护佑山林，九条家的使命是守卫稻妻，两者并无二致。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/9a3e3592223778f3739a2b1a3284660f_209124295076217317.mp3
初次见面...,我的名字是九条裟罗，你记不住也无妨，只需知道:我将永远护卫稻妻、践行鸣神的意志，不论神鬼，遇敌必除!呼...别紧张， 既然答应与你并肩，我自当尽心尽职。大义外的事情，我不会计较的。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/c185df07fb5f48ce0ffe9f33fdc8b7e3_7448409268636102346.mp3
下雨的时候...,雨滴的声音会掩盖脚步声，多加注意吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/9bbde731939054113365ee3eed7a564b_7709075986118699516.mp3
打雷的时候...,听见了吗?鸣雷正是将军大人的意志。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/26102aab30541af43bd61d8861bbb664_2417931716357897846.mp3
下雪的时候...,想要留住雪花。但在手心里，它只会融化得更快。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/53328967a794f53a162d32ea7bba08e0_4814129037139785724.mp3
阳光很好...,天清气朗，适合演武。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/bc9e7302d6d24894819a60f68b6e2e5d_4468117127124259464.mp3
早上好...,早上吗?对于我而言，这已经不早了。通常我睁开眼时，天还没亮。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/d17a410b8ab91f3b6c68e94c9223ab54_7624173038758238586.mp3
中午好...,我没有午休的习惯，但如果你想，我可以等你。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/6827cf54eb1f397b47e08459c6e7ba02_6709017585785396733.mp3
晚上好...,晚上好。随口一提，花见坂的夜樱，是不可多得的景致。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/0fac28f86dcf939c548a68f05c93992f_2141006123303594403.mp3
晚安...,去休息吧，这里有我看着就行。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/b703c843ad11bec79e4511ce4818925d_6694921272932553173.mp3
关于裟罗自己·天领奉行,家主于我有恩，「天领奉行」 是我唯一的依靠，我会倾尽一切来捍卫家族的荣誉。嗯?你问「天领奉行」的行事准则?那自然是忠于雷电将军大人，这也是我九条裟罗此生唯一的信条。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/ca3cd8f284a15bcccfaa771eff11ebd4_7870190192233761267.mp3
关于裟罗自己·备战,「准备好了吗?」如果在出发前，你有这样确认的习惯。十次中，恐怕只有一次，你能听到我的答复。其余九次，我已经化身利刃，身处前线。这并非蛮勇或不忠，而是战场从来不会留给人喘息的时间。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/97097ecebcee0dad87059168f999ce6b_8855597398805362647.mp3
关于裟罗自己·愿望,我的愿望?我原以为你早已知道，辅佐将军大人实现「永恒」 就是我的愿望。嗯?为自己所想的愿望?这种东西，我没有想过...,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/e1bf4e7204cae22ed685017cee895c3b_8549026337093789476.mp3
关于我们·观察,虽然你对于将军大人的「永恒」而言是个「不安定」的因素，但「不安定」也未必代表「阻碍」我不会与你为敌，但，我会一直盯着你。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/cd84ae37fd9358417d65fc1270994e26_1896265278393727321.mp3
关于我们·体会,收缴神之眼时，我漠视了人们的愿望。在眼狩令已然结束的当下，我有责任作出弥补。听说你能听见千手百眼神像上那些神之眼蕴含的愿望?请跟我好好讲讲吧。还有...也跟我说说你的愿望吧，我想知道。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/07ea10649b8176ce017e145ed52d90c2_9039490098283237405.mp3
关于神之眼...,得到神明的注视，才能获得「神之眼」。既然我的「神之眼」是由将军大人所赐，最后，我也会将它还给将军大人，不怨不悔。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/68d555b2c923dde52240f805caccdf4c_7863345296624330498.mp3
有什么想要分享·陀螺,上次执行任务时，花见坂的商户送给我一个名为「独乐」的陀螺， 那是种「一个人也能玩」的玩具， 我觉得挺有意思，就留在了身边。你说...一起玩? 那岂不是违背了「独乐」的原则，请容我拒绝。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/0cd12964063242343e4e4b74cd6771d3_1927900720312769086.mp3
