topic,text,audio
初次见面…,有道是闻名不如见面，今天终于有缘与你相会，实属荣幸。我姓云，单名一个堇字，不才正是云翰社当家主事的人。我们戏社最近挂靠在和裕茶馆，日后还请多多赏光，常来听戏。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/e2b6dbdf65e9bfdcc435ddc946cf1bee_6406391777715699928.mp3
闲聊·敏感话题,这两天总觉得身上腰封有点紧，难道…我胖了？,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/c3061090dd2d9fc75194c2fe7eb27b46_1574302711964285925.mp3
闲聊·闲适,不勒头，不画脸，今天乐得清闲。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/21377a9feb04621eef9b70922b624545_6085662200121832274.mp3
闲聊·清唱,云婵娟来花婵娟，风流尽在山水间。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/ecc5bd607229607e1717ef3f20fd797d_4643464717496313939.mp3
打雷的时候…,…嘶，你听、听见打雷没有？吓我一跳。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/7c03b58a814635b32acd1ad18bdefaaa_2298538050892740469.mp3
下雪的时候…,喂呀，冻煞我了。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/2a6290632616384ad8a36cc69ce1dfe1_392799904786647373.mp3
阳光很好…,暖阳和煦，真是好风光呀。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/316096de7b01caf39ee703228f2f24c7_1633203437069967939.mp3
早上好…,早，清晨露水正好煎茶，喝完这杯茶再出发吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/f27e979a9efd175c5cab6fd3e0b0a3a2_2341074049176972269.mp3
中午好…,午饭吃完之后，想睡一觉…哈…你不困吗？,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/5eb2a41da9b017480cc095830686d15b_6510962013538852256.mp3
晚上好…,一道去听听晚场说书吧，刘苏先生讲《裁雨声》是一绝。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/0505a8d0bcf4325334ebcd699d62eda8_1263133781359608403.mp3
晚安…,夜里寒气重，早点歇息，晚安。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/dfdbba0e511de8b3ceef2d53f89539ec_6088972596796946277.mp3
关于云堇自己·开蒙,我开蒙早，刚记事的时候父亲就在教我读书了。可惜，他的本事要是有十分，我恐怕只学到了三分。写戏是够用了，但要和饱学之士相比，还差得太远。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/f696e15fd87c951937465e0c28f8a997_4682192432732163590.mp3
关于云堇自己·坐科,我母亲早年是璃月港内大有名气的角儿，我学的戏都是她教的。你是不知道她有多严厉，一想起以前学戏的经历…不不不，我还是别想了。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/a6bfffa100ee0207a3c7c21dd530e89a_8457217452824290479.mp3
关于我们·搭班,最近有几场大戏，正好缺一位擅长舞剑的演员，我觉得你各方面都挺适合。怎么样，有兴趣搭班吗？休息时，还能一起品茶。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/18e49582aebbd04270af724fae3f12fe_7311350323083906348.mp3
关于我们·摇滚,欸，你还听摇滚？正好正好，下回我想出去听演唱会的时候，就找你一块去。回来的时候，我就说是拜访你去了，这下戏社里的老人肯定找不到借口唠叨我。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/55efc271fec3957cf15fe43e10918ca1_5843692856396444150.mp3
关于「神之眼」…,这神之眼嘛…说不定岩王爷也喜欢听戏呢？大概他老人家听得开心，就把神之眼送给我了，哈哈。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/99fafe6067cf340ece4c30b53c415ccf_6029690596263913275.mp3
有什么想要分享·饮品,我最喜欢尝试各种各样的饮品。老一辈发明的那些讲究茶饮，什么松间露呀梅上雪的，都让我试了个遍。现在正愁没有新饮品可以喝呢，欸，你有什么推荐吗？,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/cc015644824f9d7543713d99028b4a28_893863761874749052.mp3
有什么想要分享·心愿,我偶尔也想脱下戏服，远游海外，去更大的世界看看。为了实现这个心愿，得更加努力才行。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/6bd82a268811240bd9ca9b28313573d5_3564858794430675686.mp3
感兴趣的见闻…,每天天刚破晓就能听见莺雀鸣啭，心情总能变得很好。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/1737c030cdb3e20782a18fe017539c94_4984756938574794582.mp3
关于辛焱…,戏社里那几个老人天天念叨，说是听多了摇滚会被带坏，不让我去听辛焱的演唱会。嘴上说着为我好，哼，我看他们只是接受不了新事物而已。我才不会听他们的，辛焱的演唱会我每周都要去，就是这样。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/07/145906584/3f4a11103c6c23c8f2347a6021c7d111_4981107609048258648.mp3
关于胡桃…,胡桃她呀，表情丰富，脑筋还转得快，哪怕只是聊些家常都能「妙语连珠」。真让人羡慕。和这样的朋友在一起，无论做什么事情都很有趣。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/07/145906584/d172f21e8c3de7b488d4c2ba3953a460_4130651096366572562.mp3
关于钟离…, 我们这行的规矩代代相传，讲究多得很。有些事我只知其然，却不知其所以然。但钟离先生讲起这些竟能如数家珍，有这样懂行的观众，谁不开心呢？</span>,https://uploadstatic.mihoyo.com/ys-obc/2022/01/07/145906584/f4a065c2981a0d3c20cea29d0ce281a2_4210031090499158580.mp3
