topic,text,audio
初次见面…,海祇岛反抗军大将，五郎，前来助阵！早就听说过你的威名了，我将与你齐驱并进，一同攻夺胜利！哈哈，怎么样，我刚刚这句话的气势，还不错吧？,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/823198430724294c3fa85abe8ec90ddf_461883976801526917.mp3
闲聊·军略,枕戈坐甲，才能应对变数。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/83a95ea97bf6986405ea2425d563de32_5713061815243978360.mp3
闲聊·训练,难得没有战事，来场体能训练吧！,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/521a2d619e6d4128dd8e331c6742419f_2223040839617712189.mp3
闲聊·体格,魁梧的体格是力量的象征，对鼓舞士气也很有帮助。我得再加把劲啊！,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/64e90c63e0f2e14666334d300e208447_7239833189454880185.mp3
下雨的时候...,尾巴湿了…找堆篝火烤一烤吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/f008e7468bb16a9e54b46762667f6466_3096661336400386675.mp3
打雷的时候...,有敌情吗！,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/f8704bc2d8aaa2712fe6950f26e229b5_6765230653817057194.mp3
下雪的时候...,好冷…这种天气不适合露天活动啊…,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/af7dec8cdf42b1f2e1166c2dc74dcd6d_3669705739338317293.mp3
阳光很好...,晒太阳虽好，士气却不能松懈啊。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/c14a5aa6f2c857b323e51923ad769dcd_8932585789839130276.mp3
刮大风了...,顺风进攻，我方占优。逆风作战，也不必畏惧！,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/db7b02ac836dbc661f27f23115a5915e_6209498023337509517.mp3
早上好...,晨练时间到了，要和我一起去登山吗？,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/24534fdecf9f75af8abcd93f05e89c78_2658747548454728274.mp3
中午好...,午饭就吃鲜鱼炖萝卜和白米饭吧。这种搭配在反抗军中很流行，推荐你也试一试。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/968ac86bed2c6184b689f76272307c60_8045167308164403325.mp3
晚上好...,晚上也不能怠懈，要让眼睛充分适应黑暗。毕竟，黑灯瞎火的地方，也有可能变成战场。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/25b691930839aa88328cf2d55dd23223_8307211304234184760.mp3
晚安...,累了吗？那就安心休息吧。待在这里放哨的任务就交给我了！保证你回来的时候，一切都跟现在一模一样。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/6f399ae852d19929862b0806e181e7c1_3475797666403657904.mp3
关于五郎自己·大哥,「五郎大哥」？你是从哪里听到的啊！唉…实不相瞒。平时，我和将士们的交流都很密切，有什么好东西也都大家一起分享。他们敬重我，私底下就大哥大哥地叫了起来。可实际上，他们的年纪都比我大啊…,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/291696164/bad57bb2a2cc95abb56df8eb6b67f633_2301038757254096724.mp3
