topic,text,audio
初次见面...,西风骑士团，游击小队队长，「浪花骑士」优菈·劳伦斯，向你致以问候…嗯，劳伦斯，没错。如你所见，我是罪人的后裔，是骑士团的内鬼，正在向他们复仇。,https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/7076c79cd17c5069d07afbd1c2185801_8717638620326216517.mp3
闲聊·礼仪,骑士和贵族的礼仪一脉相承，只是前者脚踏实地，简化了繁文缛节。,https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/71acb44bb803e5b9dbd4f45624270f3e_6898387326163978761.mp3
闲聊·剑技,西风剑术？想和我学两手吗？等你学成再找你报仇，想必能增添不少乐趣。,https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/9780601a8d742c81db68f3c02932fb48_3197668967776595917.mp3
闲聊·规矩,贵族们的陈腐规矩啊…听听就好，哪怕像我一样，被迫背诵了几百条，也不必当真。,https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/ec2ff91c5c2fc5e5b1ede59719972ede_3147782913787319726.mp3
下雨的时候…,快到伞下来，别被淋湿了。要是你得了病，身体早早就垮掉，那我找谁报仇去？,https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/98838dee890179275016c97f4e00329b_2443506262185079103.mp3
打雷的时候…,麻烦的天气，雷声会干扰听觉，影响我对周边的感知。,https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/49fea9051439a803586cfb6963b7194a_6831222536881223937.mp3
阳光很好…,"视野不错！登上高地，就能将周围的敌情尽收眼底。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/a632b0517a919fd17d3e4e4a9ecaf1d4_7961245866599505512.mp3
早上好…,"该起床了，日出前两个小时，值岗一夜的哨兵最为疲惫，是我们活动的绝佳时间！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/9bbe1a48a6e21cbba94c87515c1550c4_7074524472287220807.mp3
中午好…,午饭要少吃谷物，多吃肉类，防止午后困倦，被人趁机暗算。,https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/802e9ff600dd32690e6439229246f75e_4299737655565681130.mp3
"晚上好… ","「愿柔风伴你，度过安详的一夜。」…旧贵族的问候语里，难得有这么中听的一句。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/2e5b6de2ea6727367edfd4dae9515dbe_8541728430450138165.mp3
晚安…," 想听骨哨的催眠曲吗？会让你长睡不醒…但这样的报仇方法，实在太无聊了。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/28b43160bbc23aa9c2932e6c187ab9a8_332795817250790761.mp3
关于优菈自己·骑士," 打入敌人内部，不就能更方便地复仇了吗？所以我才加入骑士团啊。",https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/a52d2bdcc942232dec4fb9ed9614140e_3508003337973886117.mp3
关于优菈自己·态度," 既然成为了西风骑士，基本工作还是要尽职的，不然就连混日子的庸人们都不如了。哪怕是罪人，也不能这么丢脸。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/7be893b20e9195a4fe87c6191cbd70fb_3525121247229572508.mp3
关于优菈自己·游击," 游击骑士的职责是自由狩猎敌军，或者在侧面战场牵制敌人，没有太多规矩，更符合我的作风。",https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/f33fe3fea635558228cb4fc43997de87_3661708992658150927.mp3
关于优菈自己·舞蹈,劳伦斯家的传统倒也不全是糟粕，至少「祭礼之舞」纯净而高洁，让我心境平和，给过我不少慰藉。这么多年来，我一直没有放下它，每个舞步都刻进了我的身体…所以，言归正传，想要学到只属于我的「西风剑术」，还得先过舞蹈这关。,https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/26b751ff5eb802282f585baf21d047a0_3499375615412314507.mp3
关于我们·共性,"其实我们俩有点像，对于蒙德，我们都是「外人」。只不过，你这个外人受到欢迎，而我一直被提防，被人敌视。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/06/08/76953456/369cda4b980f40d08d9077f5720021b7_7247429571064282694.mp3
