topic,text,audio
初次见面... ,我是鸣神大社的宫司，此番造访，自是为了确认你的一举一动，此为大社诏令...呵，不用那么紧张，场面话罢了，这样才有正当理由休沐嘛。快，去做些有趣的事让我看看吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/93cac831d773eed640ea839915061555_323227302467949096.mp3
闲聊•创作体裁,最近八重堂穿越异世的小说也太多了，哼，就对自己的世界如此不满吗。 ,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/3d63db29c31757808704bdfffe4c4729_7756957807775398396.mp3
闲聊•故事,很多人的一生，写于纸上也不过几行，大多都是些无聊的故事啊。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/c028aeef79bbff5eb616215554f7f83c_6141902387304610621.mp3
闲聊•尘世,于我而言，不变也是一种美好，哎呀，可尘世哪是如此不变之物。 ,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/eb082b276ede26c4f367d4b9ccc1d211_4155377446841999749.mp3
下雨的时候...,下起雨后，浑身的毛发都会变得湿漉漉的…,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/20f64ce07c6c30f924f4b9c9919985f5_711563557772232509.mp3
打雷的时候...,很多人会害怕打雷，不过我听到雷声只会觉得亲近。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/c0b4c48901130301c0715b64da389244_6120287326543908907.mp3
下雪的时候...,未生灵智的小狐狸，往往会一头栽入雪地来觅食…&nbsp;想看我那样做？哼。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/1ff60c55b4035ac776c9c59047d576df_3035761888283627138.mp3
早上好...,早，嗯？怎么一副无精打采的样子，没有睡好吗？哎呀，昨晚是去做什么坏事了么？,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/c7cf31f479f43bb80e5de1e5cd60e458_2881034304265702945.mp3
中午好...,嗯～伤脑筋，中午吃些什么呢？油豆腐吃腻了，想吃点清淡的。话说好久没见到社奉行家的小姑娘了，我们不如就去吃她做的点心吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/b9b8338599170969da1eaab230a22bc3_6232301980984195675.mp3
晚上好...,今夜的月光如此清亮，不做些什么真是浪费。随我一同去月下漫步吧，不许拒绝。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/f43a40b86130f11295839e5d10f1ec94_5622102295031313685.mp3
晚安...,该入眠了，呵，在夜里不听到连绵的雷声，甚至都会睡不安稳呢。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/8235976ee8d70b355de2ffbc8370849d_4126474912298350086.mp3
关于八重神子自己•永恒,所谓的永恒，&nbsp;就是不再失去已拥有之物，但从别的角度说，也放弃了得到更多的可能，不过世事总是如此，没人能够得到全部。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/d4f8dcfad134f8e108e58fc9ef76058a_6293038770917415023.mp3
关于八重神子自己•趣味,人类很有趣，所以我才如此喜欢人类。明明生命短暂，却能散发映昼光辉。他们之中，有些人的光芒，即使隔开久远时间长河都不曾黯淡。阅读这样的人生，是一大乐事啊。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/281568003/abe5baa3149955735edd0e35b283c13f_4692634382504108871.mp3
