topic,text,audio
初次见面…,我是七星之「天权」，凝光。要做个交易吗？你来做我的贴身侍卫，而我，会教导你在璃月出人头地的技巧。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/6878652/2dac4753e90a11ba68cdf44806871e34_2268156472678192761.mp3
闲聊·古玩,就算古玩价值连城，给人的快乐也只有刚拥有的一瞬。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/6878652/ecd1bf3872bb6d2750139e60c72093c9_8904473815122953563.mp3
"<span style=""font-size:10.5pt"">闲聊·商战</span>",在商战中，完美的猎手不会留下任何痕迹。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/6878652/e68f3b32d09c76cbb5ce0bedd1cfcd21_5731733412343630525.mp3
"<span style=""font-size:10.5pt"">闲聊·投资</span>",找笔新的投资吧。无论如何，摩拉都不会嫌多。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/6878652/cf0a19e175f663b473761a8b24c1cfdc_1241034612363504589.mp3
"<span style=""font-size:10.5pt"">下雨的时候…</span>",哦？下雨了啊。替我打伞吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/6878652/d945fe0c869aa002c8d0a6f52edc775c_7734015546314905723.mp3
"<span style=""font-size:10.5pt"">下雪的时候…</span>",不过是寻常雪景。我带你见见，真正的「碎雪」。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/6878652/b584c3c0c09244df11abe98d4f31eb6d_8561013654813139645.mp3
"<span style=""font-size:10.5pt"">阳光很好…</span>",风平浪静？呵，不要相信你的眼睛，眼睛会说谎。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/6878652/f7c5cde9b4e6761017bd6d572ac1705e_1934969553213580400.mp3
"<span style=""font-size:10.5pt"">刮大风了…</span>",这样的大风天，会成为捕鱼人的灾难。也会成为…呵，没什么。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/6878652/1d40e3a90c0dc6cd459dd16a90602317_1993932282178170060.mp3
"<span style=""font-size:10.5pt"">早上好…</span>",早，按事情的轻重缓急向我禀报吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/6878652/7e76cca7cfef9788892ea0546969a5a1_3424477785240770118.mp3
"<span style=""font-size:10.5pt"">中午好…</span>",「琉璃亭」和「新月轩」，你更常去哪一家？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/6878652/2678e782d139d57afd76fb4851cbfebe_5751556331468966809.mp3
