topic,text,audio
初次见面···,西风骑士团，凯亚。请让我与你同行吧。比起团里的差事，还是做你的护卫要有趣得多。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/55ffab03fe04278cd56293ce6de37dcb_4353195490944557832.mp3
早上好···,享受这一天吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/7faccce8c760a31e035b7b4c9828246e_4918271488518368140.mp3
中午好···,哟，要不要一起去酒馆坐坐？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/e4e09e19ea119d242c992a40a6703cb2_5914955885305703412.mp3
晚上好···,你该不会怕黑吧...哦？那我…可找到新素材了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/2bbb05488d582f5194fb70febc701516_968787374635091515.mp3
晚安···,这就要走了吗？那就下回见了，别让我等太久啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/8b31115490aac547211654c8d8b005b8_5055266408148678089.mp3
闲聊·无所事事,没想到你也知道忙里偷闲。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/46d6b797b8b45bee940830e5f8edfc85_6664284233712534542.mp3
闲聊·骑士团,骑士团的战友们已经忙得不可开交了吧，哼哼。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/0c334a4a009043af8f472cb74da81a6f_3687967814621217599.mp3
闲聊·懒散,逗留够久了吧，再不活动活动筋骨，要长出蘑菇来了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/ecc67d85500ca833f730261609073fa1_5499539082532687748.mp3
下雨的时候···,这雨天里，冰冻的力量会更强吧，有趣。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/46c023af4144f5e8fb54cbf7831c9151_6412326828852243215.mp3
下雪的时候·逸闻,呼~趁着这雪天，跟你讲一个鬼故事吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/ecc97ae27b01b5d01ad96d8dc1672ad8_6412326828852243215.mp3
下雪的时候·寒冷,怎么，你怕冷？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/e3616bf2283c15321cb9273b3355bdfa_709115767040769612.mp3
起风的时候···,真是和平啊，可又能持续多久呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/48d919bb636c0fddc59f890f1a288422_2454677333112927513.mp3
关于凯亚自己···,你最近有没有被深渊教团找麻烦？有什么心烦的，可以跟我聊聊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/80b97cd1dc7ed4be4da4f640a322b6e2_709115767040769612.mp3
关于我们·雇佣关系,需要我的时候就派我上场吧，别谈那些雇佣关系了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/76d58ecf98fb50589f96b60a86fe1283_7245140161947906896.mp3
关于我们·实力,哦？既然这么在意我们之间的雇佣关系，就多使唤我一点吧，老大？哼哼，可别被我的真正实力吓到哦。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/28aa87b90361cd99114771e03f8b5758_8777991188345434584.mp3
关于「神之眼」···,"不明白「神之眼」的原理？呃…我想想，给你打个比方吧。引导视线的器官是眼睛，而引导元素力的器官是「神之眼」。这样就很简单了吧。",https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/ae3a705b3033b86a1c2aec13da1b3a13_4929777854329249546.mp3
有什么想要分享···,"你喜欢酒吗？蒲公英酒的口感就很特别。什么？还没到喝酒的年纪？呵呵，那试一试蒙德的苹果酿吧，我知道一家还算不错的店。",https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/98cddb27176133aac14d7bb0aec67435_442242169385260397.mp3
感兴趣的见闻···,你见过龙脊雪山的猫头鹰么？和它对视的时候，它好像看穿了你，而你却完全参不透它……很迷人的家伙，不是吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/699e9198d2cbce21efcc5f0262cc2b59_3605706504647662616.mp3
关于琴···,哦？代理团长大人，你可要多多支持她。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/6f79c1fa227d90f8b2c2b915595fbc7c_8953181985205163362.mp3
