topic,text,audio
初次见面···,我是北斗，听过我的「南十字」船队吗？如果你也喜欢冒险，那就跟着我吧。我罩你。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/b3f72afd42a465ad7cfec05747cf7d05_6322318510995647552.mp3
闲聊·切磋,想切磋的话，我随时奉陪。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/c34afea67b5876a68f0aa6587581b2e3_7084573988828115156.mp3
闲聊·畅饮,啊——干完活，喝口酒。真畅快。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/4a5885a4d5ef8fc4442ef8f2145d9b1d_6167845221562331858.mp3
闲聊·陆地,难得在陆地上逗留那么久，居然有点不习惯了。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/94d20d02f1e22db2a939da426afe2c30_741819674892463495.mp3
下雨的时候···,被困荒岛的时候，雨水就是宝贵的淡水来源。嗯···虽然现在是用不上啦。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/858d481154f62efbb01ad24f608db332_4518897075182946238.mp3
打雷的时候···,喂，打雷而已。在海上不用怕，在陆地上，就更不用怕了。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/1052d1b43fb7cc0ac368aedf93fb7a8b_4563851745780116111.mp3
起风的时候···,这天气，很适合出航啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/1e4c13e082a8f5b7f739063ec6eecfb1_960483535869746833.mp3
刮大风了···,注意扬起来的风沙，别揉眼睛。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/b8ce60d2b65beed768588f98eaf430c8_1991887453994649181.mp3
早上好···,哟，早。我准备出发了，一起来？ ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/b963cb7fd6a401b66cff26e38b2a133b_9173943285231422621.mp3
中午好··,去香菱那吃午饭吧。你别说，这大锅热油炒出来的，还真和海上的烤鱼腌肉不一样。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/879b761e2ed9a3e54474a5a0931ff15a_2819229885842369109.mp3
晚上好···,好，出发喝酒去喽！哈哈哈，平时没人卖酒给你是吧？那不如—— ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/163bc9dcf3048def8bb72a9165a108c6_905268704180671106.mp3
晚安···,这时间过得可真快。去吧，一帆风顺。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/e0ba51440db366e579f8f394aee6e465_4116947617157298380.mp3
关于北斗自己···,航海准备——兄弟们，各就各位，全新的冒险要开始了！ ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/b0f35f9aae413bc3c2cae40bc0cf2cac_1370037284705917984.mp3
关于我们·称呼,我是老大，你是我兄弟，没问题吧？哈？这些叫法太老土？行。那就按你喜欢的方式叫吧。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/13/4359827/90f9edd0603a29b0bf29f685a136904b_6125037376206694386.mp3
