topic,text,audio,
初次见面···,西风骑士团「火花骑士」，可莉，前来报到！…呃——后面该说什么词来着？可莉背不下来啦…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/685a7b9768bb0429d33cc12224f696a4_1287008207516253355.mp3,
早上好···,早安！带可莉出去玩吧！我们一起来冒险！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/140207273fb38f14fa3b14919d2e996d_2045963641562143201.mp3,
中午好···,午饭时间到了！吃什么呢？我来看看《提瓦特游览指南》…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/ff801003a5e4fb898c34c8feedf14da5_6115125358416604059.mp3,
晚上好···,晚上好！拜托你也帮我跟霍夫曼先生说说吧，可莉不是小孩子了，可莉晚上也可以出去玩。带我出去玩——,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/b17f7bc2352772bafcbdcefb4552839b_2891986986936537999.mp3,
晚安···,虽然出来玩的时候说不想回家，但天黑以后的旷野，不认识路…拜、拜托你回去的时候，把我也送回家好不好…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/2a7de1ac801a1d938d0f0785528101fa_8863237276309276328.mp3,
闲聊·收获,可莉今天又勇敢地抓到了花纹奇怪的蜥蜴！从没见过这种图案，你要看看吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/3e6101d89d1f53e610515f9bda2c5ae6_8690071035385535653.mp3,
闲聊·冒险,要和可莉一起去炸鱼吗？虽然被抓住就是一整天的禁闭，但鱼很好吃，所以值得！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/5d6e987191a906b5c67fda1db2a6e60c_3901104381883272137.mp3,
闲聊·守则,「城里放炮禁闭室报道」、「炸弹伤人琴找上门」、「放火烧山可莉完蛋」——这就是可莉在骑士团的生存守则。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/a49659709bb6c4418f3555ef42fc98c9_8797781735700560863.mp3,
下雨的时候···,哼哼哼，这次的炸弹可是防水的。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/3846fb7bb69e1afbb311568428552eb1_6607600557851569442.mp3,
打雷的时候···,什么东西爆炸了…？！哦，是打雷啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/72e4dc5eaf2cbc975c4987dafc253668_2977976293722522961.mp3,
刮大风了···,风神保佑，把可莉的炸弹往合适的地方吹吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/c4af57e6d73cbdbd0b090d033e5b4de8_4361669711931148000.mp3,
关于可莉自己·肇事,呜…这次居然炸歪了大风车的叶片…真对不起！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/dff502c168cdcba0a0894a08bba05c0e_3217172560514051446.mp3,
关于可莉自己·赔偿,我，我还挺会做手工的，请让我帮你们重新做一个…什么？禁止雇佣童工？呜呃…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/2c2ed3d80c39c46e5d96a44158753d78_5996969283304377592.mp3,
关于我们·玩伴,不行！才九点，可莉今晚一定要撑到看完马戏团的午夜专场！你是可莉的玩伴吧！那就别想现在就把我送回家，略略略略…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/e2f4b509dc22b2192e5439fdf85bdf99_3633993033545691948.mp3,
关于「神之眼」···,这个小小的玻璃球，就代表了巴巴托斯大人对可莉的肯定吗…唔…究竟是认可了我的哪一部分呢？ 是自由吗？那以后要不要更自由地出去炸鱼，来回应巴巴托斯大人的期待呢…？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/2c1634d29c49c97785b483286e4ac6e7_8826361840679564181.mp3,
有什么想要分享···,可莉知道，骑士团的墙是不能炸的。虽然打通了能从禁闭室出去很方便，但凯亚哥哥说，这样做了以后，琴团长恐怕会让我再也见不到第二天的太阳…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/c9599b1daff3e1ffb59ed27e28af74cd_2389707317933631816.mp3,
感兴趣的见闻···,每一只蜥蜴的花纹都是不同的，有些蜥蜴的尾巴干燥以后磨成粉，可以当做炸药的材料哦。这是阿贝多哥哥告诉我的事。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/318caf5c80c2129473cee576804f70cb_5385105534103258439.mp3,
关于雷泽···,我们是朋友！雷泽努力对抗危机、保护可莉的样子，让人安心！唔…虽然基本上都是我把危机带到他身边的…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/1323f17e9631ba9e21e77f627c298996_5085264157948206909.mp3,
关于父母···,爸爸和妈妈都是全大陆有名的旅行家！妈妈写的《提瓦特游览指南》，有好多餐馆和旅店都很在意它的权威评价呢。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/31153611/39db8397a5675c4265c0903b6237a392_945198345844149204.mp3,
