topic,text,audio
初次见面…,我是埃洛伊，虽然对这个世界还不太了解，但我的弓和箭随时为你所用。如果你的队伍需要我，我会倾力相助。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/b1384b50cf42337ffbacdec5e4c98588_8481522414527523019.mp3
闲聊·动身,别闲站着了，该动身了。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/01ada27ea35dc4e6a0f1be73ceda713c_932332166355969992.mp3
闲聊·帮助,现在不该停留，还有人需要我们帮助。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/385eded8d780543d99d35a6bedea3125_7220227665155588870.mp3
下雨的时候…,雨，可以洗净脏污。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/4c4e9c49ad27948a308cd7c330b070a5_1751480038273406567.mp3
雨过天晴…,雨停了，该把自己晾一晾了。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/2943ae5a7b26c5e2c6c76028f4634b00_3651932186305017920.mp3
下雪的时候…,下雪时，似乎整个世界都静下来了。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/ec6adc00fef0d9cfbe2487db7f5b9d09_3229240904257178013.mp3
起风的时候…,又起风了，在风中呼吸的感觉真不错。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/4e5b218613f9b9013c4163ab97c2c685_3663768988400055171.mp3
刮大风了…,风烈起来了，刮得脸上生疼。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/5b0a2a5ecc5a07bfaa7ab3e36256f518_2663021032454635834.mp3
早上好…,早上好。世界又充满了活力，我也一样。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/72a119223ec1311baa953299f946697b_6490748816039044335.mp3
中午好…,日已过半，我们还有不少事要忙。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/3498dae6a89bded1a09718badde56153_5936774689154088329.mp3
晚上好…,太阳落山了，再过不久星星就要出来了。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/7836f4bc6309222936ebc78e02d522dc_7608962858067192154.mp3
晚安…,晚上好。该休息了，除非你想借着星光继续行动。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/33a504c3c910ce3df7c4029693368e01_1274463686992696416.mp3
关于埃洛伊自己…,我从小就是个流放者，那段日子很不好过。但在这里，即便是对待我这样的外人，大家也比我所降生的那个部落友好的多。感觉…很好。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/06c2f391a9d68958e10ab924bc307a6d_3978991494173963225.mp3
关于我们·行动,我的一切行动都是为了拯救生命，而非带来死亡。这就是我与你并肩战斗的原因。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/1a5dd7f636d7212c643a42cd66be219e_1477664637485459128.mp3
关于我们·誓约,立誓什么的，有点太循规蹈矩了。不过如果你想要我的誓约，那我的誓言与你同在。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/a7bb3e9e205391fd40e4275d266a67dc_8441740302830091746.mp3
关于我们·前进,我会尽全力与你一起前进，直到终点。我不会踌躇，也不会辜负。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/8c7f0bf66a68ee382a21e3a8de81c96f_3411378148386789739.mp3
有什么想要分享…,如果说有什么可以分享的话，那一定是我的弓与箭，我只为扶助他人而使用。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/9d16629678866a97250a6142f3e0aa32_3458213882691333777.mp3
感兴趣的见闻…,和我那边的世界一样，这片天地的过去也充满了秘密。如果能有足够的时间，我一定要把一切秘密都揭开。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/2ca9cb5c323a9b5543225f2ec9b7d2b1_5132691864365588862.mp3
想要了解埃洛伊·其一,我不太擅长谈论自己的事情，眼下的任务才是重点。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/24/145906584/8a50b12d515b608a1a678352eaf07da9_8852504099570731778.mp3
