topic,text,audio
初次见面…,侦察骑士安柏，前来报到！今后有什么需要帮忙的，尽管说好啦！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/2623217118c979b87a2b892de47ec5b7_6122859712241743791.mp3
闲聊·兴趣,好想跑一会儿步呀。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/01042dd29e779427871eb5e7b69e67d9_2090675054405476089.mp3
闲聊·挂念,要是被琴发现我们在偷懒，她会不高兴的。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/94729496c43ba20bc413bc6c15064e39_5463848398778661774.mp3
闲聊·新发现,那边好像有什么奇怪的东西耶…不去看吗、不去看看吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/38675fd991d3e522e295e69b80be9512_4524027291268873815.mp3
下雨的时候·担忧,下雨了…蝴蝶结会淋湿的…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/898ad56a78ba81c0bafa50b128c34745_1493441295538242291.mp3
下雨的时候·提醒,下雨了啊…视野会有影响，要小心哦。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/781262e29cc3e20ceb1e9225f307d6ab_6982191449885408085.mp3
雨过天晴…,唔哇~天气真好。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/dd754ed2a7c49c3f14959090b45a6802_5514730337202832939.mp3
阳光很好…,嗯…要是风大点就好了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/1511b04efd27ffbc5dd96420d52201d1_2976124813349783542.mp3
起风的时候·惬意,真舒服呀…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/70e645d9887bf0f60b96678a5c710b4a_1747108822467177929.mp3
起风的时候·放松,我喜欢这种天气，嗯…真轻松！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/c13df5e29e09682f328cb80aa2b465af_5465244395811517275.mp3
早上好…,早上好哟！要不要一起晨跑？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/21/4359827/b62e58b56a1f4c12b9f5f0da7c6f452f_2165393595420502023.mp3
