topic,text,audio
初次见面...,初次见面，异乡的旅人，你的名字我可是早就听说了。只要你不嫌弃，我托马，从今天起就是你的朋友了。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/29488bca0ecd2636972f98ae38449ec7_8857769755838691983.mp3
闲聊·请客,嗯...找个时间一起吃顿好的怎么样，我请客。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/e653b1054f086e8721ecfb906cdc664c_1650592039765631424.mp3
闲聊·担忧,总觉得有什么事忘记做了...庭院打理过，茶也煎了，嗯...应该是错觉吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/d905adc80f0c0f394b639d239ce1e67a_3269258969046711013.mp3
闲聊·摩拉,这几天花得太多，身上只剩十摩拉了，不过幸好还有十摩拉！,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/637955bc7daa75aa25fb3a8bef3da85d_8993408736682271737.mp3
下雨的时候...,怎么突然下雨了？你没事吧？要不要用我的外套挡挡？,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/37f96ae6cf3761f230886bde4baad4f7_9059622451148861014.mp3
打雷的时候...,这种天气就别在野外晃悠了，会被劈的。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/78a8e8438ffd41f013c6f6f2ca6781ad_7476234639995845083.mp3
下雪的时候...,别在雪地上跑哦，摔了我可不扶你。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/54ba4850c5cf5a0ca7ea26778ed8b9a3_7177813762770896260.mp3
阳光很好...,天气真不错啊，一起散步吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/abf8ad0341d984a0d91bdf4242e86761_7338356368691034650.mp3
早上好...,早啊。要是你不忙，要不要跟我一起去集市上逛逛？早上的蔬菜可是最水灵的哦。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/25d3f6cebb88d26e6ac872bfc3fe6ca8_4927308483506506383.mp3
中午好...,今天午饭除了绯樱天妇罗还有三彩团子！来，你和派蒙都有份，还有神里小姐和家主大人的...欸等下，我好像忘了准备自己的份。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/27b8bf34a4bafe6af6fb5d78db0b7fef_9157024858338595439.mp3
晚上好...,快走快走，这个点去市场买鱼能便宜不少。要是心血来潮想买什么小玩意儿，我帮你砍价。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/33c5a03f4846cb530fa85f267fe7a309_2657435492479737222.mp3
晚安...,嗯，晚安。你这一天也辛苦了吧。早点休息去吧，别熬夜。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/312d8560d6ffbdebeda831f492d32391_4208761995700235514.mp3
关于托马自己·家政官,不论是神里小姐还是家主大人，最初都没打算让我担任家政官，还是我自告奋勇的。我很喜欢这些活，将一切打理得井井有条，特别有成就感。看大家的反应...嗯，我应该干得不错。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/03/291696164/06cc9d285f1d802d55a420dcf430f308_4856023136999751611.mp3
