topic,text,audio,
关于风车…,派蒙：蒙德有很多风车呢。<br>空/荧：因为蒙德城建在水平面的上方，所以是靠风车把水抽上来的吧。<br>派蒙：回答正确！蒙德四季风吹不断，所以水源的供应也很稳定。<br>派蒙：而且，风车就是所谓「看得见的风」吧——然后，风铃就是「听得见的风」。<br>派蒙：也算是一种祈求风神护佑的吉祥物啦。<br>空/荧：原来如此，和派蒙一样是吉祥物啊。<br>派蒙：不一样！风车是用木头做的，不能当应急食品，只能用来磨牙啊！<br>空/荧：嗯…<br>空/荧：…我该接话吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/1fadbb4a9481f8e85b17a2ed7e4f339b_8163834438976861065.mp3,
关于酒馆老板…,空/荧：我听说，收了可观的小费以后，酒馆老板会小声说出一些情报。<br>派蒙：是「天使的馈赠」吗？但那位迪卢克老爷，好像是非常有钱的人。<br>派蒙：究竟要多少小费，才能让老板觉得「可观」呢？<br>空/荧：唔…那也许是我记错了吧。<br>空/荧：也许这个传言，是在别的世界听到的…<br>派蒙：你去过的世界真的很多呢。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/0094aed1e0417ebb9fc278d2334b3304_5141085856029815484.mp3,
关于果酒湖…,派蒙：果酒湖是不冻湖，一整年里都不会结冰。<br>派蒙：蒙德最好的苹果酒，只能用这座湖里的甜水来酿。<br>派蒙：湖水真的很好喝！我一秒就能喝掉两大瓶。<br>空/荧：真是惊人。<br>派蒙：哼哼。<br>空/荧：派蒙这样的体型，喝这么多水…<br>空/荧：居然不会像风史莱姆那样，炸到漏气满天飞…<br>派蒙：哼哼，装好喝的饮料的是另一个胃。<br>空/荧：嗯…世界真是广大，需要花时间去思考的见闻，还有很多…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/2b468023a73495d070e8e74aa8fb5df2_315724477836687666.mp3,
关于禁书区的书…,空/荧：丽莎提到过的，那些「禁书区」的书…<br>空/荧：你有没有好奇过？什么样的书会被放在禁书区里呢？<br>空/荧：莫非…<br>空/荧：会有那种不适合小孩子看的书…？<br>派蒙：什么？明明《野猪公主》都不在禁书区的！<br>派蒙：还有比那本更不适合小孩子看的书吗？派蒙开始好奇了！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/4884c37e33a53c3b9b8b148d3226a428_5364159091364623834.mp3,
关于努力与回报…,派蒙：我发现，在蒙德努力工作不一定会有回报呢。<br>空/荧：为什么这么说？<br>派蒙：你看西风骑士的霍夫曼先生，每天尽职尽责…<br>派蒙：可那位总是很轻松悠闲的凯亚先生，却是他的上司。<br>空/荧：嗯…可是最辛苦的琴，当上了代理团长呀？<br>派蒙：那、那论地位来讲的话…<br>派蒙：最懒散的温迪，还是整个蒙德城的神明呢！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/80f6e3389013cf9741b3f9a01ff80450_8456393213904389237.mp3,
关于歌德大酒店…,空/荧：想住一次歌德大酒店…<br>派蒙：我也是！<br>派蒙：里面的房间一定又干净又大吧。<br>空/荧：不过听歌德老伯说，愚人众搬进去以后，出现了各种奇怪的问题。<br>空/荧：雷萤术士提进去的雷萤，因为静电吸了好多灰，死了不少。<br>空/荧：然后，因为雾虚花粉和胡椒弄错了…<br>空/荧：「债务处理人」互相指责对方欠过自己酒钱，引发了斗殴。<br>派蒙：…加油啊，歌德大酒店。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/998c03223d3236d726ebb62afc931124_474531935532713896.mp3,
关于风的流向…,空/荧：人们都说，蒙德是风的国度。<br>空/荧：可是，我还不知道这个季节盛行的风向，是哪个方位呢。<br>派蒙：不如我们去问问温迪吧。<br>空/荧：他对这种问题，只会「欸嘿」一声敷衍过去吧…<br>派蒙：说得也是。风神只是一个卖唱的而已，懂什么风…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/b449b410cc3995f8365389d611108834_8310194569121439571.mp3,
关于炼金术…,空/荧：原来蒙德的炼金工作台是在街头开放的。<br>派蒙：是呀，很奇怪吗？<br>空/荧：我曾经去过的许多世界里，炼金术都是作为秘术存在的。<br>空/荧：看到炼金术成为日常的一部分，就像看到「三胃人」的世界一样奇怪…<br>派蒙：喂！人只有一个胃才会奇怪吧！<br>空/荧：嗯…<br>空/荧：你是认真的吗？<br>派蒙：嘿嘿，你猜！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/28666d658a96c4e31d68f7ba2fd5438c_37311960449844319.mp3,
关于「自由」之神…,空/荧：我们救回特瓦林之后，在回蒙德的路上…<br>空/荧：第一次见到了「尘世七执政」的面目呢。原来是这样的神…<br>派蒙：嗯？我们认识温迪，不是已经很久了吗？<br>空/荧：我是指…他作为风神巴巴托斯的那一面。<br>空/荧：在吟游诗人的躯壳之下，藏着真实的神灵。<br>空/荧：「被自由之神命令的自由，还能称之为自由吗？」<br>空/荧：他问特瓦林的这个问题，我也还在思考答案…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/1cb0b2e22539c883c526ee1fed6e9727_6980193857768766315.mp3,
关于蒙德的地形…,派蒙：蒙德这边的地形，平原和丘陵是很多的。<br>派蒙：据说是巴巴托斯改造天地时，用暴风削平了陡峭的山崖和峡湾…<br>空/荧：不过，没修整完的地方也还是有的。<br>派蒙：比如摘星崖？<br>空/荧：没错。<br>空/荧：这就好像是…做模型时懒得磨平的水口一样吧。<br>派蒙：水口？那是什么？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/0e99506f6b51ffde95c7a68d6252009a_4794500927316409881.mp3,
