topic,text,audio
初次见面...,「飘摇风雨中，带刀归来赤脚行」...我的名字是枫原万叶，游历四方的浪人。既然你我都在旅行的路上，这段路不妨结伴同行。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/b1a2e2138eaf76c7a5bcdb451cf5b0d0_2834720628715182161.mp3
闲聊·自然,见到了这么美丽的景色，自然会产生云游四海的想法吧？,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/00322d81afcd53c28caad755b9290383_6449470042643984468.mp3
闲聊·吹奏,既然手边有树叶，我可以为你吹奏一曲。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/0e4e264e45cfab22e0d9bff1f4cab86e_2046294494669500601.mp3
闲聊·剑技,飘摇风雨中，睹物思故乡，这把刀...是我与故乡唯一的联系了。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/dbb276638ed153633dd8375141ea3d4d_4626252793424932422.mp3
下雨的时候...,在大雨中漫步，让人神志清醒。不过等雨停之后，还是尽快把衣服烤干比较好。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/a470985bc73670a53210ab3ac35407bb_3783092948401239665.mp3
打雷的时候...,比起在海上航行时遇到的雷暴，这倒也算不上什么。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/81206e963c59b4267c2e0705e3859ba7_9215711199032184542.mp3
下雪的时候...,我喜欢下雪，雪后的世界很安静，无人来扰我清梦。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/832e8ffcc255ab4ba8df7bee6acaf2b6_6740005278606195521.mp3
阳光很好...,晴空万里，真让人心情愉快。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/2253415816876e097c4602f94112f924_8731613438001776168.mp3
早上好...,清晨的鸟鸣，是大自然的馈赠。启程吧，属于我们的旅途也要开始了。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/861c2506b82f8984fb5f9aa40f37bd2a_3759013884421125090.mp3
中午好...,正午的阳光，让人想要小睡片刻。找个地方休息一下如何？,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/3ab403e4c902820b03cadb228e3de2c4_2176876359041126132.mp3
晚上好...,抬头见月，侧耳听风，壶中有酒，我心太平...晚上好。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/720751f3c53391ac33968c6acc944089_249547393813480698.mp3
晚安...,风停了...安静的世界，适合好好休息。明天见。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/26c78459d1f96baac28f664ce281ab45_8789171876419751192.mp3
关于枫原万叶自己·航行,其实，大海并非每晚都充满风浪。天气清朗的时候，月光倒映在摇晃的海面上，鱼群在船舶的周围随行。我坐在船头眺望远方，会觉得这段旅程非常值得...唯一的遗憾是水手的歌声太吵了，他们不用睡觉的吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/e3f9420b3549b5d7b8177630c5af0231_1479921350435618810.mp3
关于枫原万叶自己·贵族武士,枫原家曾经也是有名的武士门第，可惜传承到我这里时，除了贵族的名号外已经别无长物。不过对我来说倒也足够了，武士不需要富足的生活，我们需要的是诗歌、美酒与手中的刀。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/dfd434be993ac18f6d5dc92677ab9d6c_6783744218711140313.mp3
关于我们·出海,找个好天气，出海看看如何？,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/6174b353d113300a971bfd328f9c2bea_7497353702895532194.mp3
关于我们·畅谈,我喜欢性格爽朗的人，这样相处时可以畅所欲言。有什么想说的不必藏在心里，我能听见自然万物的声音，其中也包括你的声音。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/f558c565be9e71e24021cc6723527c72_8281960942728627186.mp3
关于「神之眼」...,在我看来，神之眼是力量的「证明」，而不是力量的「来源」。神之眼象征的是凡人继续向前的愿望，而我们武士的底气，一直都是手里的刀。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/bb011f3e9fc8bca584223ba4607df4ae_542997339718137104.mp3
有什么想分享·竹刀,想学剑道的话...我想想，拿着这个吧，这是我刚刚做好的竹刀。用这个切磋的话，我们就都不会受伤了。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/a34a41deda4bfc232e7812666b4f5f22_8976153717249029283.mp3
有什么想要分享·枫叶,「深山踏红叶，耳畔闻鹿鸣」...我很喜欢枫叶，可惜枫叶红时总多离别。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/7343460afebef322a693f0fd6730569f_5788477929135358498.mp3
感兴趣的见闻...,"海鸥别叫了，从今天起，我也是漂泊者呀。 ",https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/cad8d8835368f89021f608211c001b28_8258199222087717176.mp3
关于北斗...,北斗大姐头是我的恩人，大姐头她收留了从稻妻逃出来的我，并在我最困难的那段时期里，给了我重返稻妻的勇气。她是我和所有船员可以托付后背的战友。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/805e79bdcfe0f0e49673befb66ad41cf_6831983437610320224.mp3
关于五郎...,我在被通缉的那段时间里，反抗军给了我许多帮助。那时候我与五郎只有短暂的接触，但我对他的印象很深刻。他是那种有话直说的直性子，与部下同甘共苦，为朋友两肋插刀，与我很合得来。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/02c2da677fada2cc02f6914ff0712b21_3393988966711444796.mp3
关于九条裟罗·态度,能在御前决斗中战胜我的朋友，我确实认可她的实力。但她却用这样的力量为虎作伥，带领九条军不断回收「神之眼」，我无法原谅。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/7f00c85cb409e8109d360089363a23e1_6359510669122828142.mp3
关于雷电将军...,离开稻妻后，我许多次扪心自问，我对雷电将军的不满是否源于那一次御前决斗，是否源于她对友人落下的那一刀？我想了很久，觉得不是的。我的友人是堂堂正正的死在了决斗场上，雷电将军的那一刀也并无不妥。我对她的不满，来源于「眼狩令」。没有任何人有资格剥夺他人的愿望，即便是「神」也不行。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/6bf0a6dc6d75ef11a654bbb12c5ec8e5_1360882478455615739.mp3
关于神里绫华...,生活在稻妻的人，应该都听过「白鹭公主」这个名字吧。神里家的大小姐，近乎完美的一个人，不过我跟她没什么交集，不知道她对如今的稻妻抱有怎样的看法。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/7a32cfffe87807bc484e4bff18aa4b45_3884470677464647987.mp3
关于宵宫...,上次她托大姐头把烟火运到璃月，还是我亲自去卸的货。好沉！除了她以外应该没人能造出这么大的烟火了吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/49b44fc8b1fa21ff763e8a053140151a_7962283172049573968.mp3
想要了解枫原万叶·其一,想要了解我的事？如你所见，我只是个随处可见的流浪武士。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/25/7531033/76cf831490ed8b3bdb7d8fa376cf7ff1_4981348912918834885.mp3
