topic,text,audio,,,
初次见面…,哈…睡得好香呀。欸，你好呀，旅行者，我们又见面了。嗯？不记得我了？嘿嘿，那就让我再次加入你的旅程吧。你的诗篇，值得被我这个世上最好的吟游诗人传唱！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/71b6793223a7a6a59c73b88d7d5c79b6_8322981066471670970.mp3,,,
闲聊·弹琴,嗯…想接着听下去的话，送我一个苹果吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/292f11368aac80b89ad4b4acc7337a1b_609645774691430140.mp3,,,
闲聊·苹果酒,嗯…好想坐在大树上，手边有喝不完的苹果酒。哎。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/b6ac89337181faf824d4bd59f7e58a87_3699223874911258301.mp3,,,
闲聊·诗篇,动身吧，旅行者。佚失的诗篇，还在等着我们呢。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/1701da0bfc157a4df9bbb9b97e5bc264_607658407901320922.mp3,,,
下雨的时候…,来踩小水坑吧！看看谁溅出来的水花更大！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/2d0539ffd9f66adb38d4e9118080d7e9_5610432353894662605.mp3,,,
雨过天晴…,欸~这就天晴了？我还想多玩一会儿呢。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/d68074023d3ef4646f6109cdba83acbb_3618026102917559761.mp3,,,
下雪的时候…,等雪积起来…我们来打雪仗吧！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/e52a2669f1c18a522e806aa281d65ac3_5344297376435607654.mp3,,,
刮大风了…,难得呀，要不要去飞一飞？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/1aaee8413769e3129943b7fcbc86a3b7_3583886983637537943.mp3,,,
早上好…,早，准备开始新的冒险了么？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/9b9f691e10d71bbeccace0602aabdfbc_6295310653265211435.mp3,,,
中午好…,咕…肚子饿了，又不敢再去晨曦酒庄蹭饭…啊，是你呀！欸嘿，要出门么？带我一个呗。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/c02114ff29a55edafa5706115c811a7f_8736007629065612094.mp3,,,
晚上好…,我还不困哦。要我陪你走走么？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/28da23701e8305b8ca8d4ef114581b31_8350784457206338335.mp3,,,
晚安…,欸？要休息了吗？嘿嘿，晚安。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/6d565b053d3c94b42500deec4dcd8dc2_5105008937825255403.mp3,,,
关于温迪自己…,练习？哼哼，我当然不需要啦，在这提瓦特就没有我不会唱的歌。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/7afd38df2d12571b082e2eb078f8089d_6103589330929628751.mp3,,,
关于我们·新歌,我想把你写进新歌里！欸，怎么露出这种表情呀，担心付不起稿费吗？哈哈，摩拉就不要了，不如…跟我再讲讲你的故事吧！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/92ad25097527c2514d0469c08f7d4e2e_3217460499057922124.mp3,,,
关于我们·勇者,唔…嗯！嘿嘿，等到勇者救出了王子/公主，我会第一时间让全大陆传唱这首歌谣。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/5dc69830e0bd49e1e805dbe7330089af_7682105761553285332.mp3,,,
关于我们·使徒,夜风凉爽，是适合成为神的使徒的天气！那么事不宜迟，快来向我献上供奉吧？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/4eb2d36db9dc9d145d24d1cd3a808203_3233673889028647916.mp3,,,
关于我们·请求,欸，要风神我更加努力一点？那你是不是也要展示点诚意呢。比如虔诚、热爱，或者说…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/1b3b8da0ea7de23a0f13b306650813fa_4904328629610951461.mp3,,,
关于「神之眼」…,欸？好奇我的「神之眼」？喔…喏，给你。喜欢的话…要我给你做一个一样的么？嘿嘿嘿。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/ca63dac4b1e50bc7ea340899f58969b5_7458363689164396650.mp3,,,
有什么想要分享…,Olah！嘿嘿，这是丘丘人打招呼用的话哦。问我学这个干嘛？哎呀，为了创作，知识面当然越广越好啊。唔，好像，我还没尝试过用丘丘语写歌呢…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/9a218515cc67d49dca9e1694624b2f93_3988275244278942376.mp3,,,
感兴趣的见闻…,旅行者，你见过塞西莉亚花么？那是一种只在安静的山崖顶上默默绽放的白色野花。在我心里，它就是全提瓦特最美的花。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/96da1ca629b7c8fa35a227cbe224d089_3535331317481198415.mp3,,,
关于琴…,骑士团代理团长大人…你觉得她是个怎样的人？嘿嘿，跟我想得一样。认真，勇敢，也不乏温柔。和我一个朋友有点像呢…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/76953456/5ae84f2ab2487011682fbd8fefebfb32_2161258674110190053.mp3,,,
关于迪卢克…,去跟迪卢克老爷处好关系吧？你想，他家可是有好~多~珍藏的酒啊！嘿嘿嘿，嘿嘿嘿嘿…咦，无论如何不准喝酒么？那…就去闻一闻吧，闻一闻！只是闻的话，你也可以喔。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/220b697048f99670992b2fb371805e08_8945868424297786296.mp3,,,
关于芭芭拉…,唱歌很好听的牧师女孩儿，你认识么、你认识么？…唔，偶像？…啊，握手会？…嗯，专场live？…这样啊，音乐还真是深奥呐。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/24e572362c012d3f0a211e3a8e1a1c42_5953547404666441327.mp3,,,
关于雷泽…,那个奔狼领的白发少年，哦哦，是吗，是被狼养大的啊…怪不得呢，他身上的气息，令人怀念…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/dd87f552ca1a71e196abe4bc248a0d3d_6320908402329338301.mp3,,,
关于莫娜…,啊，那位占星术士吗？这么说吧，占卜和我的诗歌一样，都是让人穷到酒钱都凑不齐的没用技术呢！欸？你说占星至少是一项文化传统，所以不是没用的？呜，真失礼啊，那诗歌也一样有用啊！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/c97abd5c09dcfc32f498e630d86cd9d3_9086241761950160168.mp3,,,
关于迪奥娜…,远近闻名的猫尾酒馆特调酒。可是…呜，会，打，打喷嚏。要不，你帮我讨一杯酒来吧。我肯定会好好感激你的，一言为定。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/ce220457f6c8382b02c8018165ce5afa_8355577030412209275.mp3,,,
关于阿贝多…,黑土与白垩、宇宙与地层，无垢之土创生原初之人…特征实在太明显了，难以忽视呀。这么危险的古老技术，万一在城里失控——嗨，算了，就让蒙德人自己解决蒙德的问题吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/5c19382932bebb9d1050929cf0c0d2e0_2002796896376509325.mp3,,,
关于摩拉克斯…,你见过那位老爷子了？他近来还好吗？欸，变成名叫「钟离」的普通人了？对他那个死脑筋而言，这应该是不小的改变啊。啊，陪我去见见他吧，带上这瓶埋在风起地的陈年好酒当作慰问品。啊对了，他现在还强不强，实力还剩几成啊？我这样过去，应该不会被打飞吧？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/d28e032c7f2ba2ee766d133d16cabd5c_7730658914709802474.mp3,,,
关于优菈...,优菈对酒的品位可是很不错的。无论夏天、冬天都要喝冰的这一点，在现在的蒙德人里也算难得啦。感觉能和她成为不错的酒友。嗯？你说我编排的劳伦斯家的歌…早已经传到了她的耳朵里？哈，那有什么关系嘛？说不定，我们还能一起唱呢。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/07/281568003/8c7f707a4e2f0821fb1a0548269490c6_8552911926609390773.mp3,,,
关于巴尔…,听说，你把那位不可一世的雷电将军也击败了？啊…想当年她作为影武者的时候，就在追求极致的武技了。如今，也一定会借用各种各样的理由叫你做陪练吧。嗯嗯，偷偷告诉你她的弱点吧，耳朵凑过来——是「甜点心」哦！,https://uploadstatic.mihoyo.com/ys-obc/2021/09/26/145906584/6384f9578304cc01227e7806f00636b4_7286151545188190725.mp3,,,
想要了解温迪·其一,来得正好，旅行者。我想听听，你的愿望是什么？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/cea8d33fd21b1bc969be2fde734658a0_4135605835728006604.mp3,,,
想要了解温迪·其二,跟你一起旅行真是件有趣的事，要说美中不足就是你身边的那只小不点了吧。那么能吃，你们的伙食费很了不得吧？哈哈。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/4b49401bb175cf690085eac6697635b4_2776704638315596960.mp3,,,
想要了解温迪·其三,火之神是个横行霸道的战斗狂，岩之神是个不懂人心的死脑筋。问我怎么会知道这些？欸嘿，叙事诗里都写得一清二楚嘛，他们的故事。那个年代的故事。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/57cff791f96f337262aa4b4ed376f9f4_4493377619434475405.mp3,,,
