topic,text,audio,
初次见面…,"    我叫烟绯，是璃月港最顶尖的律法专家，没有之一！商业纠纷、民事调解、刑事诉讼，样样精通，一出手就搞得定！我的联系方式…要给你记在哪里好呢？唔…记在纸上容易丢，记在手上容易糊掉…哦！有了，就写在你旁边这个小家伙的衣服上吧。",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/6832e3f7fe2a187b3bc609e5e0d9d4ec_4920122083022403163.mp3,
闲聊·律法,"    律法既是约束，也是工具，请你千万记住哦！记不住的话，我就多给你念叨两遍。",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/ebf4afa036c116007017468ada82140c_1206759020085321492.mp3,
闲聊·工作,"    法理与人情有时冲突，有时兼容。权衡二者，真是种学问呢。",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/2862c1be77e199402624ee8c4d3b346e_4901797071640328472.mp3,
闲聊·阅读,"    唔唔，居然还有这种案件…天下之大，无奇不有啊。",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/41006678a5ac065839b80a9e73b54f33_6608801494295004397.mp3,
下雨的时候…,"    又下雨了！岩王爷行行好赶快出晴吧，一大墙法典可不能受潮。",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/f90ddb3d13700e5e87e504f26030a91c_7910508887000612934.mp3,
下雪的时候…,"    这…这是什么倒霉天气，有、有点冷哦…阿嚏…",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/d96a709ee2a11028280aa790a346dd96_8836030303123673804.mp3,
阳光很好…,"    趁着天好，背背律条。嗯？《璃月商典》第二十七章第六条第三款是什么来着…我怎么会忘记？不应当不应当…",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/cb1a5e982088e95b1b2d551e7997f315_3822532239177196552.mp3,
早上好…,"    早上有个债务纠纷的案件要出外勤，中午前要给上周来咨询的客户答复…好！干活干活！",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/f89b5928a62d7422576573e83193b613_1242201375218823930.mp3,
中午好…,"    哈…有点困呢…不如来场辩论，帮我提神醒脑！辩题的话，「北国银行的开设对璃月经济利大于弊还是弊大于利」。嗯，就这个，你先来挑立场吧。",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/1aeef21e4ce542e6c6e010683bbd29de_7966406569667056975.mp3,
晚上好…,"    夜市？唔…本想留在家里整理笔记，不过你想逛的话，我们就一起去吧。哦，我跟你说，有的店家因为要保证每天商品都是新鲜的，又不想白白折损今天卖剩下的货物，经常会在晚上搞促销。</p><p style=""white-space: pre-wrap;"">    讨价还价的事就交给我来吧，零头…就当作我的服务费啦。",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/dc5b822e8153a93b2a391c7c565c3bf2_3300401417667229148.mp3,
晚安…,"    想要快速入睡？那我来给你讲解璃月律法的演变史吧，我的那些朋友就没有能撑过二十分钟的。唔，还想要更快的话，那就背法典吧，背法典！明天记得告诉我你听到了第几条。咳咳…我开始了哦？",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/c8bb18e68d0387efd62ed6655c59fce5_1371365583675335542.mp3,
关于烟绯自己·气场,"    读卷宗时我的气场很强？唔…原来你会这样想。但那也只是我的工作状态吧。就是说，在我的身上有一个隐形的按钮，噗地拨过来，是平常模式，咻地拨过去，是工作模式。你身上难道就没有这种开关吗？",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/5d21127e20e513c5cf63c39a2073775e_4914751176319605644.mp3,
关于烟绯自己·弱项,"    我最怕遇到的就是民事纠纷啦，什么婚姻破裂、抚养权诉讼…这类纠纷很难用理性或者逻辑去拆解。虽然说对当事人的态度要温和有耐心，但有的当事人自己都已经没法交流了…唉。虽然我标榜自己「样样精通」，但如果可以由我做主的话，我还是希望大家都能够和和气气生活，少出现些这种案子啦。",https://uploadstatic.mihoyo.com/ys-obc/2021/06/09/6878652/e0b8925351d07b1149890668c129ce99_411192835433027562.mp3,
