topic,text,audio
闲聊·阅读,八重堂出版的许多作品，深入浅出地阐明了兵法原理，我很喜欢。,https://uploadstatic.mihoyo.com/ys-obc/2021/10/10/145906584/41c1e1f53b1b03d3e8b95538aeab4416_8750414964098620741.mp3
闲聊·游鱼,每个生灵的意志都值得尊重，就像海中的游鱼，也有自己的方向。,https://uploadstatic.mihoyo.com/ys-obc/2021/10/10/145906584/7f4efece2b6d779265d6e5b7c2821e05_6849028206559775397.mp3
闲聊·准备,未雨绸缪，才能临危不乱。,https://uploadstatic.mihoyo.com/ys-obc/2021/10/10/145906584/33261069376fa05e74d7eab2a519ca87_2230181015836661883.mp3
初次见面…,我是珊瑚宫心海，海祇岛的「现人神巫女」。此次与你一起出行，就当做是放松一下…咳，就当做是对外考察吧。不用担心，临行前我留下了不少锦囊，将海祇岛近期的发展计划布置完毕了。稍微离开一会儿，也没有关系。,https://uploadstatic.mihoyo.com/ys-obc/2021/10/10/145906584/f641a5e0212fc01fa343008a56228dff_4181793357731151631.mp3
下雨的时候…,雨中行军，可以隐蔽声息，但对体能却是很大的考验…,https://uploadstatic.mihoyo.com/ys-obc/2021/10/10/145906584/a30d9535864d067c6aa48eabfd2c6cb3_4498149507092530232.mp3
下雪的时候…,雪…真漂亮呀。</p><p style="white-space: pre-wrap; min-height: 1.5em;">,https://uploadstatic.mihoyo.com/ys-obc/2021/10/10/145906584/a5131aca35468fd634ebadf59d6803ab_7483889415038921340.mp3
阳光很好…,天色真好，一起走走吧？,https://uploadstatic.mihoyo.com/ys-obc/2021/10/10/145906584/0a0ddb80df822d2df388f1ec3ab8d9c5_7909684063521709139.mp3
刮大风了…,嗯…这么大的风，正适合用火攻之计。,https://uploadstatic.mihoyo.com/ys-obc/2021/10/10/145906584/3a6e1119616380033cd0a1e2f76c6371_7692834249508491856.mp3
早上好…,早安。我刚刚读到一段有趣的兵法，要一起研究一下吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/10/10/145906584/e15d7e30652d7e570710cd19c98b5dd4_3688021459831476504.mp3
中午好…,下午的作战方案要进行一些修正，这样可以保证更高的效率。,https://uploadstatic.mihoyo.com/ys-obc/2021/10/10/145906584/934f752e0e71947a6d759d29d289ff38_6233823447749025300.mp3
