topic,text,audio,
初次见面…,这就是你的冒险团吗？真好啊…又热闹，又有人情味。啊，我是「班尼冒险团」的团长班尼特！能把我列入你们的合作伙伴吗？拜托了！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/4baa2bb1cd5047477133295b2a53efca_7463898726985836432.mp3,
闲聊·宝藏,不如在周围找找看吧，说不定有宝藏呢！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/9f4496bc4fe34e9cb7b3a63fbb5040b5_521492205098704428.mp3,
闲聊·冒险,好久没有和别人一起冒险了！我们走吧！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/9facdbc584c3d014f964c86e9bfd718f_3225988364590807134.mp3,
闲聊·调侃,俗话说「等在原地是不会有好事发生的」，当然以我的运气来说，往哪里走都一样啦…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/a024499657ce61fd7c6a1f2e03169c50_1950164475838161124.mp3,
下雨的时候…,我冒险的时候，大多都是这种天气。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/ec699a2f4cf867039e1d108da8dcf051_7497676132989654465.mp3,
打雷的时候…,啊！别和我站得太近，这样雷就不会劈到你了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/307213d53abd485e27f2ac0a309e0dba_1733872461557484692.mp3,
阳光很好…,今天的天气真不错…啊，糟了，说完这种话多半就要下雨了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/71c1aed9b9e00a026813882e21789b1d_6368202041859384678.mp3,
刮大风了…,小心点，别被吹过来的石头砸到脑袋了！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/3276ebe5eec366d5da7ac557f613b0d9_417515680664435845.mp3,
早上好…,早上好！我们今天去哪儿冒险啊？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/b10ae2afa955783fc00c1029c39752d2_2010252699139394083.mp3,
中午好…,我带了三明治，要吃吗？分你一半…唔唔！咳，咳…不好意思，噎到了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/ca7eb411caba6df572c75393a239954a_5376218640215054978.mp3,
晚上好…,要不要陪我去和老爹们聊聊天啊？老冒险家的故事可有意思了！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/08f3d34d3dfd0a0399fbcb1fc030b01a_5735757018924855569.mp3,
晚安…,要走了吗？能和你一起冒险太开心了，下次记得再叫上我啊！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/99d791e8701e21c104977a595b1a98fb_3939881635792757573.mp3,
关于班尼特自己·冒险团,我就是「班尼冒险团」的团长，振兴蒙德冒险家协会的希望之星…没见过其他团员？那个…最近他们都请假了，哈哈。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/37546ef988e8e89a5343c6a589efcfc3_7414165844654553950.mp3,
关于班尼特自己·坏运气,没有传说中那么夸张啦，不过就是走路经常会掉进猎人打猎用的坑里，或者被突然倒下的树干砸到脑袋，都很平常嘛，对吧？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/22680a016df8c70508915d632ee4f8f2_7396817084288579251.mp3,
关于我们·搭档,哈哈，不行的，「班尼冒险团」早就满员了…合适的人选有那么多，没必要找我这个倒霉蛋吧？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/7209b7edcf3c4fb1ff4e75cc71bfc8b2_807504397387204348.mp3,
关于我们·分工,以后我负责引走怪物和激活陷阱，你就负责带走宝藏。啊，这样不行吗？哎呀，没事没事！不用担心我会受伤啦，这是我最擅长的！而且为了你的话，我愿意！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/b79496e6730af0d2558d5858a43a8674_58650178772795888.mp3,
关于我们·险境,我终于明白你为什么找我搭档了，你和我很像，一定也很喜欢置身于险境的那种快感吧！冒险就是因为有危险才让人欲罢不能啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/37e8f79d1aa478154f6689dcbc5f5289_5200029576688265617.mp3,
关于「神之眼」…,没想到我这么倒霉的人也可以获得神的认可，既然神都没有放弃我，我又怎么能放弃我自己呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/a8fc2d24994957292c82a16e68cbc9f5_629688605218912905.mp3,
有什么想要分享…,有机会要和我一起去俯瞰蒙德的夜景吗？蒙德城灯火通明，果酒湖反射着月光，特别漂亮…你问我在哪里看到的？哈哈，有一次不小心被龙卷风卷到了特别高的地方…什么？不想去啊，哦，好吧…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/6aa63353817c539b556ce6ad8fc14b59_4640915985395272361.mp3,
感兴趣的见闻…,其实我很喜欢卷心菜，看上去很普通，却是一般人家必不可少的食物。它能生长在很多地方，也能和很多食材搭配，还从不抢味道。其实普通一点，也挺好的嘛。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/95b161f48401de16acc28916ba0372ea_60299618881007578.mp3,
关于芭芭拉…,她很擅长唱歌跳舞！我冒险不顺的时候就会去看她的演出，跟着观众一起喊喊口号加加油，心情就变好了，真的很神奇！这就是她为什么这么受欢迎的原因吧…啊，我这个当团长的，要是也这么受欢迎就好了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/83b90543877fdaf016b562dbb20d2f28_8764452197942355611.mp3,
关于可莉…,那个孩子啊…很可爱，但我必需和她保持距离。只要我陪她玩，她的那些炸弹就会突然爆炸…我倒霉一点无所谓，但要是炸伤了可莉就麻烦了，估计整个骑士团都会跟我没完吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/08156be7a270f370f0c030cc2ed453d2_7376628096530549056.mp3,
关于菲谢尔…,她是异世界来的「断罪皇女」，可厉害了！我不止一次和她说想要去她的家乡冒险，但每次说到这里她就吞吞吐吐的…嗯，一定是担心我的安危吧，看来她的家乡真的是很凶险的地方。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/3b07eb44eceb7ea57953314b21bbeb2c_9219570418462241669.mp3,
关于琴…,我本来想向琴团长要一些对蒙德的冒险家协会的支援，但其实我不太知道要怎么和她说…冒险家协会没有骑士团那么多规矩，我和老爹们成天也嘻嘻哈哈的，但用这种态度和琴团长说话，肯定不行吧…我是不是要学一下骑士团敬礼的方式？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/0f45de0057aaf79623bedddd5d306aea_6704028324295956356.mp3,
关于法尔伽…,他是我非常崇拜的人，名副其实的大团长！能领导整个西风骑士团，那该有多厉害啊。不过后来我想了想，冒险团规模太大好像也不行，团里太忙了的话，老爹们就没人照顾了。哈哈，还是现在好啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/c0b5fc62aee1cf9f606e2236c3c07f93_5232221215556048611.mp3,
关于雷泽…,你说奔狼领的那个小哥哥啊，他虽然看上去凶巴巴的，也不愿意说话…但是是个有趣的人哦！他和我都特别喜欢吃肉，我给他做肉吃，他教我狼怎么说话，哈哈，你下次要不要一起来？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/aa72e20ab5ad39787ff25b169253aa39_5618175184834321056.mp3,
关于安柏…,哦哦，想起来了，那个女孩子，总横冲直撞的…她和我一样，经常去野外冒险！只不过…只要路边架着锅，就总会飘来浓浓的黑烟，还有什么东西烧糊了的味道…唔，难道她的运气也很差？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/9f1088a21013c2b2a987ccbd5c9361df_4095750143465114694.mp3,
关于诺艾尔…,你说她啊，其实我注意她很久了。她很有天分，又特别努力，但在骑士团只能当女仆，一直没成为正式的骑士，你不觉得太可惜了吗？唉，要是她肯来冒险家协会，估计早就是个了不起的冒险家了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/130e6d5f40d8f335978917083269cbbd_7601342582459323105.mp3,
想要了解班尼特·其一,什么，想要了解我？哈哈，我只是个普普通通的倒霉冒险家，和你的各种传奇经历相比，简直不值一提啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/a92d5f23548c18975a980cae0a19c83e_3803313175694804898.mp3,
想要了解班尼特·其二,「老爹们」…这是我对蒙德的老冒险家们的叫法，听说我是他们在非常险恶的绝境中捡到的孤儿。很奇妙对吧？明明我的运气这么差，居然能被人捡到还活到了现在，简直是奇迹啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/6878652/46523cf656dca32f3f42cdf1807d1333_977877019787438031.mp3,
