topic,text,audio
初次见面···,<span style="font-size:10.5pt">蒲公英骑士，琴，申请入队。从今往后，我的荣誉与忠诚将与你同在！</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/aaf3f91ee4b8c125d705d977882b1b19_243359684670373200.mp3
闲聊·行动,<span style="font-size:10.5pt">行动起来吧，我们不该在这里停留。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/b99179897893cd61c648a5428c653575_1878856794213058817.mp3
闲聊·骑士团,<span style="font-size:10.5pt">骑士团的大家…有没有认真工作呢？</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/b0676a8616e330781b564a2ba053d313_5379327920008899784.mp3
闲聊·目标,<span style="font-size:10.5pt">走吧，前往下一个目标！</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/3185d9377eae3e6798c14e9425b59d5a_8574252867260738569.mp3
下雨的时候···,<span style="font-size:10.5pt">下雨也无法阻挡我的脚步。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/0c9c0b4a9a3a790d1b1f1bfddc5e42c5_8277558758469767513.mp3
雨过天晴···,<span style="font-size:10.5pt">这样的天气，正适合行动。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/3953adaa661f455fc89a3a067b3cdf49_8612728979773897985.mp3
下雪的时候···,<span style="font-size:10.5pt">下雪了，要注意战靴的保养啊。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/029788b3455eb266542da4fee3ca3c1b_7941899621803765210.mp3
起风的时候···,<span style="font-size:10.5pt">舒适的天气。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/e12542062b118639fae78c89ce0b2a1e_4192802574314346497.mp3
刮大风了···,<span style="font-size:10.5pt">传说，那天也刮着罕见的大风…</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/5b9653b91e2ed9d855781f1a3a967c54_7941899621803765210.mp3
早上好···,<span style="font-size:10.5pt">「一日之计在于晨」，今天也请加油。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/a000387ee632663b763a0c9118486a3c_5428891948440689919.mp3
中午好···,<span style="font-size:10.5pt">好，现在开始处理任务吧。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/e8e62d4ece0d41ef03ce7bf87b012219_3474824693640944276.mp3
晚上好···,<span style="font-size:10.5pt">看样子，差不多已经对咖啡免疫了。如果有什么替代品的话……问问丽莎好了。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/0176df70cc25539fdca6484116243374_5238559581429860039.mp3
晚安···,<span style="font-size:10.5pt">今日的修炼就到此为止，做得很棒，辛苦你了。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/71ed7272ba51ebc04a8ff641892e55b0_8081878215182716094.mp3
关于琴自己···,<span style="font-size:10.5pt">今天为了保护民众，把五座遗迹守卫斩成了碎片。唉，我还需要继续磨练自己…这么珍贵的文化遗产，下次应该尝试空手制服。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/0282720d851d1dc2e97ad566afc26618_6082203039445290541.mp3
关于我们·信条,<span style="font-size:10.5pt">我会全力帮助你，当然，如果你的方向偏离了正义，我也会毫不犹豫地指出。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/5266b02cc9d25ea692e1b55fe67869f9_320821378012056959.mp3
关于我们·誓言,<span style="font-size:10.5pt">我以此剑起誓，必将胜利献给你。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/7f9dd353068b48cb21fcc7cdb7263f5f_5476247900973320879.mp3
关于我们·任务,<span style="font-size:10.5pt">任务可是不会自动完成的，但适当放松一下也好。今天就破例午休几分钟吧。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/75a81e51055274bd4d17d812f051bded_8301411573861229950.mp3
关于「神之眼」···,<span style="font-size:10.5pt">「永护蒙德」是古恩希尔德家族的家训。每当驱动「神之眼」，我都会想起母亲、还有蒙德民众的期盼。为蒙德而战，为自由而战，我，在所不辞。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/d485ff89dc4d9f7cf77cf61168a0d282_8357234836863087669.mp3
有什么想要分享···,<span style="font-size:10.5pt">我谨代表西风骑士团，向你为蒙德所做的一切致以谢意。还请你劳逸结合，量力而…</span></p><p style="white-space: pre-wrap;"><span style="font-size:10.5pt">怎么了，你突然笑了起来，我说了什么奇怪的话吗？</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/49e612e250e021cab2f38397bc556dc8_1127857592804372076.mp3
感兴趣的见闻···,<span style="font-size:10.5pt">蒲公英，蒲公英，跟风一起，到远方去吧。它乘上风，说不定连天空岛都能飞到呢。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/a801843766df389f36fd62d34f6eff6f_1127857592804372076.mp3
关于芭芭拉···,<span style="font-size:10.5pt">芭芭拉非常努力，只不过有时过于勉强自己...嗯？问我为什么了解得这么清楚？因为西风教会也归属骑士团管辖。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/cc7471b903ec203a23d6ff0acc63b4a1_5391842729682851477.mp3
关于丽莎···,<span style="font-size:10.5pt">丽莎，有她在的话，我会安心很多。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/34023d8498ce9e1546d2b75c3667398e_6147751387295598320.mp3
关于安柏···,<span style="font-size:10.5pt">安柏这段时间确实有所成长，希望有朝一日，她的事迹也会被吟游诗人传颂。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/57832b7a20fe9bf7a8419799484f6011_3694765152342919057.mp3
关于凯亚···,<span style="font-size:10.5pt">是吗，凯亚也向你提出建言了。他是一名优秀的西风骑士，这点毋庸置疑。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/b82f86b3047c17881c3e027c38683c3b_7687272310313467056.mp3
关于可莉···,<span style="font-size:10.5pt">虽说玩乐是孩子的天性，但可莉中意的玩具却都是些危险品，让人难以放心。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/4be3922c82e1d9505ba7cd1494339ac4_4859423207098867031.mp3
关于阿贝多···,<span style="font-size:10.5pt">「天才」这种名词，或许正是为了阿贝多这样的人准备的吧。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/c1851f3998598b4e4dd7d69c7383ce94_398717509967129331.mp3
关于法尔伽···,<span style="font-size:10.5pt">法尔伽大团长，他是西风骑士团的当代传奇。等到他凯旋归来的那一天，就请你亲自和他交谈吧。相信你也能从中受益。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/41fce10713312d638137a07217b4f6c3_5968124612532356963.mp3
关于诺艾尔···,<span style="font-size:10.5pt">诺艾尔，嗯…那个努力想要成为西风骑士的少女。她的内心仍有软弱之处，现在这个阶段，也许还不适合让她接触外界的凶险。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/efb479a5ebfd208f1b052bba800317e8_6184014106855161038.mp3
关于罗莎莉亚···,<span style="font-size:10.5pt">罗莎莉亚修女总是把「麻烦」挂在嘴边，实际却十分称职。</span></p><p style="white-space: pre-wrap;"><span style="font-size:10.5pt">上次我和她说「如果觉得麻烦也可以找我帮忙」，她却回答「这样更麻烦」。嗯…我果然还有很多欠缺啊。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/c53c7a05538517142f3c7a2ff536e500_8769645580291657416.mp3
关于迪卢克·愧欠,<span style="font-size:10.5pt">迪卢克前辈对骑士团的指摘事出有因，即使心中愧疚也无法改变既定的结果…我只想通过我的努力，让他对骑士团有所改观…嗯，这是我的责任。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/404b510714f51b1914a6110bc90c859f_480747975278772762.mp3
关于迪卢克·敬重,<span style="font-size:10.5pt">迪卢克…是一位非常可敬的前辈。虽然我们选择的道路不同，但这份共通的守护蒙德的心意，我能感受得到。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/0cf439051b8675e87eec9334098a5dd9_7204163517633755799.mp3
关于砂糖···,<span style="font-size:10.5pt">作为炼金术师，砂糖也算天赋异禀。况且她的身边还有阿贝多指点，未来应该不用担心。只是···不，没什么，沉浸在自己的世界里，也不算坏事吧。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/de69a7f7d25e76fb38712d1da7f40ce3_7204163517633755799.mp3
关于优菈…,优菈？咳…请不要对她的身世耿耿于怀，西风骑士会公正地评价每个人。优菈明辨是非，才华出众，偶尔发表危险言论，也只是她的性格使然。哪怕她总是说要挑战我，我也不介意。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/14/145906584/f2a7531f3e473970931049a98e8cbcab_6781228050655996880.mp3
想要了解琴·其一,<span style="font-size:10.5pt">我肩负着西风骑士团的信任，还有蒙德民众的期待。为此，我不能松懈。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/b971e366eb3ed3d876d21f902a564615_5724189646356759156.mp3
想要了解琴·其二,<span style="font-size:10.5pt">温妮莎的「蒲公英骑士」之名传承至今，曾经有无数伟大的骑士获授这一荣誉。我不能辱没这个名字。因此，决不能松懈。要成为守护众人的坚盾与利剑。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/808ade84c9307596c2165e718f3f952a_1976042958464907838.mp3
想要了解琴·其三,<span style="font-size:14px">无论是传奇故事还是史书，都只记载了伟大骑士的功绩。难道，他们一次也不曾迷失过吗……？</span></p><p style="white-space: pre-wrap;"><span style="font-size:14px">风啊，请指引我前进的道路。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/45132b100b9fcdb3e95ef47dc1ab76d4_1306636459128760902.mp3
想要了解琴·其四,<span style="font-size:10.5pt">全身心投入工作的时候，烦恼和时间会一并被忘却。</span></p><p style="white-space: pre-wrap;"><span style="font-size:10.5pt">「你是最适合做这种事情的人选」。那个时候，大团长法尔伽就是这样对我说的。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/b727eb40fda0a6c818c1d09eb2761392_8790811486292977243.mp3
想要了解琴·其五,<span style="font-size:10.5pt">与你同行时，前进的道路变得无比清晰。就好像，终于有人能依靠，这究竟是……</span></p><p style="white-space: pre-wrap;"><span style="font-size:10.5pt">不，一定是我还不够努力。绝对不能松懈，不能辜负西风骑士团和蒙德……但是，谢谢你。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/3cc4efb78f93fe8e59a2b89c41d07ddd_3546359209934648804.mp3
琴的爱好···,<span style="font-size:10.5pt">或许可以和你聊聊书上那些英雄传记。嗯，你听说过坎瑞亚英雄王的故事吗？</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/aa781484170da685f49db1b33c7e1514_3659339132980494005.mp3
琴的烦恼···,<span style="font-size:10.5pt">假如有什么神奇的药剂，喝了就不需要睡觉…嗯，要不明天问问丽莎吧？</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/bb9e767d35ea9a6dd2c2b4d271b025eb_8646165984737762407.mp3
喜欢的食物···,<span style="font-size:10.5pt">猫尾酒馆的披萨……很久没吃过了。</span></p><p style="white-space: pre-wrap;"><span style="font-size:10.5pt">如果能外送到办公室就好了呢。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/ec56afeaa8bb1e61a01e67293d29a334_3887051866824257613.mp3
讨厌的食物···,<span style="font-size:10.5pt">优秀的骑士不能挑食。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/8664bbd7eb621d754ff382b675968f19_7487681750733097093.mp3
生日···,<span style="font-size:10.5pt">今天是值得庆祝的日子。要说为何的话，因为这是受风护佑的你，诞生的日子啊。既然是生日，那就好好休息一下吧。</span></p><p style="white-space: pre-wrap;"><span style="font-size:10.5pt">咳咳···祝你生日快乐···</span></p><p style="white-space: pre-wrap;"><span style="font-size:10.5pt">啊，请原谅我的冒昧。不知这份礼物，是否能令你满意呢？</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/4fd9cb6c884fa765d3c718311a2629fc_7895376282327005524.mp3
突破的感受·起,<span style="font-size:10.5pt">好，一鼓作气前往下一个目标。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/221f328ed69f9576ee53748753f64d83_8003487683650729523.mp3
突破的感受·承,<span style="font-size:10.5pt">只要风不停歇，我就不会停下脚步。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/13fafb50685b763c3b50f32eddd0dec3_7323405420995764482.mp3
突破的感受·转,<span style="font-size:10.5pt">就算暂时获得了平静，也不能掉以轻心。身为代理团长，我必须未雨绸缪。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/73c587270a4fe90735b218a56f9740f1_857221105512129954.mp3
突破的感受·合,<span style="font-size:10.5pt">我做得还不够好。自从与你相遇，一直承蒙你的关照。这份感激…</span></p><p style="white-space: pre-wrap;"><span style="font-size:10.5pt">风啊，请容许我的私心。并非作为代理团长，只是作为「琴」，在此起誓——我的剑将与你同在。</span>,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/b4ffdab0dc0d1959c247cc507052ae66_1362343304593184003.mp3
元素战技·其一,一决胜负！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/6656804d4d57e3190862eb591add2fb7_3537110453125014263.mp3
