topic,text,audio,
初次见面···,我明白了，外派工作的「契约」已经拟好了，请过目，即日起就可以为你···欸！名字没有签吗？请让我看一下。唔···名字是···甘···甘雨。呼，补上了。话，话说回来，工作具体是指哪些呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/d81c3a8034f9fb510f35a70ad4d812a9_422542366707633231.mp3,
闲聊·松弛,安逸的氛围···喜欢。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/0764323e14f5e6233f07634682e379f4_7813538920302418254.mp3,
闲聊·聆听,趴在草地上，能听见大地的心跳。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/15ea3ae48ae5f7448ef13ea401e60461_631535895017709768.mp3,
闲聊·焦虑,工作···工作还没有做完···真的可以提前休息吗?,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/81bb60c9ecc3ab7a02b25340500aa1d0_8341649695369393512.mp3,
下雨的时候·担忧,飞云商会种植的霓裳花需要充足的雨露，唔···和记交通的伙计们，却不喜欢雨后泥泞的山路···,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/8de394daccbfe9df42409d65fc5887c6_4456162625254563871.mp3,
下雨的时候·听雨,在庭院里听雨的感觉很好，但是，太奢侈了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/7b705bc6cd2a150f633ac3d83de2d179_5757486465024750122.mp3,
雨过天晴···,嗯? 天晴了吗? 是什么时候···,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/4545d562132e0d0c5c99519c7a79f6c8_2010657753512909815.mp3,
阳光很好···,嗯，空气很适宜。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/78349d316a6213d6fda9bb2d25517817_3243241381839014223.mp3,
起风的时候···,啊，琉璃百合的味道，真好啊···,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/1bb806e8ba941e3c8b4177b416318506_8503884075220420046.mp3,
早上好···,早上好···嗯?是哪里没有梳理好吗，请不要盯着我的···盯着我的头饰看。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/e69d9771fb6389c75905ed841af3c131_3237722855348038124.mp3,
中午好···,啊···需要午觉，如果没有什么特别的事情···我就先行告退了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/782ef17ec4d6323caf79cc95867f2dea_1905750621705378590.mp3,
