topic,text,audio
初次见面…,我名申鹤，命格孤煞，易伤身边人，仙人叮嘱要以此红绳锁魂，控制杀心。若你不畏惧与我同行…很好，就请伸出手来吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/705502eb26d391fbeba4fc67ade5f3de_765390525635023072.mp3
闲聊·归宿,人间的归宿是一种奢望，我早已习惯跟山川与鸟兽作伴了。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/2c8afdc8bfabf5ca62b2dedeb219bd27_1278518998378403421.mp3
闲聊·要诀,回向正道，保身护命…,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/7925df2734245b7a57847380f6dc107e_5073335399026981306.mp3
闲聊·刀枪无眼,刀枪无眼，红绳的力量也有极限，所以我才不喜欢人多的地方。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/caa1c0f2f9b34e1fd2e37eceb6edba37_7405613149991725684.mp3
下雨的时候…,按照凡人的做法，这种时候，是否应该…撑伞？,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/09300100a4372053ae57c0224d03a080_621818321496472511.mp3
雨过天晴…,天气变好，我也很开心。只希望没有人来打扰…如果有，就让他们消失好了。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/bbfe653a7b27f8e9619360f08ffbb86c_6565494186632014618.mp3
打雷的时候…,把魔物冻在原地，雷劈下来就能瞬间解决它们，还不会让衣服沾上尘土。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/d9c63c8e0efdea076fcabf082498ec6f_8576006014647675421.mp3
刮大风了…,嗯…师父最喜欢庆云顶上的罡风。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/00fa5d04f52bb08adcc426fd961c4709_3539471168056171363.mp3
早上好…,早安。晨露很甜，要分一点给你吗？,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/2f00be9408b1b5e0548a94625e6e7478_2496817969103762274.mp3
中午好…,若是午后困乏，不妨试试打坐养神，很有效果。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/6d6c822b6da870293b04b6a077079875_5807271533084893445.mp3
晚上好…,不知道你是喜欢人间的灯火，还是山林的月光？,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/87e2c10b111b99ed5b46636de2fd23fa_519399144488172325.mp3
晚安…,放心休息吧，我睡眠很浅，有什么动静，我会替你查看的。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/17bff94369b5c7f5add35fce6231fed0_2269139318132367007.mp3
关于申鹤自己·本能,磨砺自身，修炼方术，都是本能使然，想要保全自己而已。我没有兼济苍生的胸怀，惩奸除恶只是顺手，不必感谢我。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/ff08a2593cab24bc1acd719cd6d2a0e1_219563138772792439.mp3
关于申鹤自己·异类,受我恩惠的人叫我仙人，被我惩罚的人喊我魔女，呵…不管是仙是魔，终究都是跟凡人不同的异类罢了…,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/be765863e03e9cd2c1f909807f698e79_5085043103745693284.mp3
关于我们·待人接物,我很少下山，不懂得多少待人接物的道理。发生冲突的时候，我一律按自己的方式处理。但，如果你觉得不妥，都请告诉我，即使不理解，我也会听你的。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/57ab082f818e6aff9ace06ee28a1ac03_2148460969095864179.mp3
关于我们·红绳,师父赐我红绳用以压制心性，但这些日子你我同修，我才真正领悟到要诀，力量收放也更自在…你才是真正能锁住我的红绳。若你懂得这份心情，就请留在我身旁。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/1840fe7d05b97db844d683a113ccb35c_5384217279073260399.mp3
关于「神之眼」…,原来这颗闪耀的石头叫做「神之眼」？呵…有缘既得，无缘便失。日后倘若缘分消散，它也会熄灭吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/6cdedf6acca537bb66caa46f1c8ae837_3125380870300618888.mp3
有什么想要分享…,邪祟易驱，心魔难除。若自身无法放下执念，仙法与术式都无从挽回。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/9c79f868db11145e14ba2f2fc7a6420d_2923643590592699997.mp3
感兴趣的见闻…,为什么说「初雪多浪漫」？那处山巅日日下雪，何日才算是初雪？我不理解，请你告诉我。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/b02a322f141e6c3edfd77cdb7e834c66_5423523302225835978.mp3
关于凝光…,人们所谓的财富，对我而言没什么用。但到了凝光小姐手里，却能解决连刀枪都无法处理的难题。她能掌握人间规则，洞察人心…师父说，这些连仙人都无法做到。我很佩服她。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/96225fc10516f7be32ffe5433aa8cb6b_2962569631556553677.mp3
关于北斗…,与她相处不用讲究礼节，交谈时也不用揣测深意，让我轻松了不少。只是…她身边总是有人，听说船上还有诸多船员…我需要跟你一起，才能应对人多的场合。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/e37715a8dbfc17b32b0f09060806b331_1147136188913549903.mp3
关于云堇…,云堇唱的…叫做「璃月戏」吧？我很喜欢这种形式。不必亲见其面，就能了解他人的事迹。如果将来她把你唱进戏里，那一定会是非常精彩的故事，我很期待。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/3e3ed01aa3d52dee726853a48039b6b5_6814250995876611784.mp3
关于甘雨…,我从师父那里听过许多有关她的事…她原先在我心中的形象，和实际差距还是挺大的。放心，我不会说出去。说起来，璃月港的工作竟这般繁忙…看来融入人间，也要付出一些代价。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/d240b724dcc2229a95a984d00d0790d0_3947542861765493392.mp3
关于重云…,真没想到我在这世上…还有「亲缘」。他若是有什么修行上的困惑，我愿帮忙解答。不过，得请他上山来。他们一家太过热情，我不知道该如何回绝才符合礼数…,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/75e3c4be4ab803ea2e7a36725c151602_420453183739567909.mp3
关于行秋…,我曾见到他凑在你耳旁不知说些什么。若他敢威胁你，我一定会将他…嗯？只是朋友间的玩闹话？当真如此吗…,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/fdb0d43080aae43b27a4687beb328ac6_1549454512098127072.mp3
关于钟离…,那位先生自称是凡人，却与身为仙人的师父很熟络。师父曾说，如果碰见他在仙府前的石凳上饮酒，莫要打扰，让他静静独坐一会。我照做了。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/1f6b1b6648dcca11aa26043acc28498e_3464734259990037583.mp3
关于白术…,他的药草品质很好，为人也随和周到。相比起来，脖子上的小蛇倒是口无遮拦…放心，我没有动手。我还不至于和一条蛇置气。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/a988c557f092e60bc2f2262e1ae99538_8516534833961351507.mp3
关于胡桃…, 她在附近山林游荡时，经常会唱奇怪的歌。久而久之，我把她的歌断断续续听了个遍。听习惯了也还是觉得奇怪，但，我并不讨厌。</span></p><p style="white-space: pre-wrap; min-height: 1.5em;">,https://uploadstatic.mihoyo.com/ys-obc/2022/01/06/145906584/906587a67c0af3e63d19d6ecdd12a5a1_5740403701785664558.mp3
