topic,text,audio
初次见面,我是砂糖，炼金术的……研究员。听说你去过很多地方，一定也……不，没什么，第一次见面，不该这么麻烦你。但……如果你愿意，和我讲讲路上有意思的事，那个……我，会很开心的。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/ffcc7f7ab3aa1c7b71d088f14a2fc909_7552744146864780818.mp3
早上好,早上好，昨晚睡得还好吗？研究表明，只有睡眠充足，第二天的精神才会好，而且，脑袋的运转也会更高效哦。唉……什么？我总是熬夜？那个……唔，没办法嘛。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/9506ced5f988281730965b7055d12e1a_7368313529785860412.mp3
中午好,哇呜！别、别过来！啊……不是，我的意思是，不要靠得太近。我在做实验。这个……可能会爆炸的。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/b979fa1872caf9d0e070e54936850069_6752425851794061130.mp3
晚上好,晚上好，啊……请稍等一下！“实验体玖零伍式”的光照分泌物其实有两种，为了明确区分，就叫“壹零叁叁式”和“壹零叁伍式”……嗯，好了，请问有什么事情要找我吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/0579eb24ca1dab83cce6f7f88592b080_6576425454209148321.mp3
晚安,不用等我，先去休息吧。嗯……有这么不放心吗？实验已经在收尾了，不会熬夜的，真的……,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/c5d3344042cda6fc3db8a32a982982d7_3761789767331305939.mp3
闲聊·好奇,那是什么？啊……不见了，我可以去看看吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/fefaa87e8d61f9ca75d95ab8e1db0be7_1674821846040575284.mp3
闲聊·整理,趁现在，赶快整理一下研究笔记...,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/bf798a27913637f01fcd40974be2154a_3545353614115449320.mp3
闲聊·深呼吸,嗯！好久没出来透气了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/2f6020108f08b9ca4352ac3fdf650293_4624178672726357032.mp3
刮大风了...,今天城里的风车，转得好快。欸，你说，如果在小动物背上，也装一个像风车一样的东西，会让它们跑得更快呢，还是会飞起来呢?,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/1ea248251199e53f9a8993ddc0239e21_5925201657344435323.mp3
下雪的时候…,这么大的雪，一年都没有几次，错过了，想研究就要等明年了，所以就别拦我啦啊-阿嚏!呃…我知道了，我多穿一点…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/c5cabb5c1dccf9de4361a0299160d79c_3692459515649800224.mp3
阳光很好...,天，天已经亮了？！那、那再做最后一次实验吧，做完就休息！嗯，最后一次。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/91c3323974f2a9dfb8516083c1d1049a_8261499389330321473.mp3
下雨的时候...,湿度上升，嗯…要不要再加一组实验呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/00cfb0012cc4ca9527db4a5b7b773fc4_4272406457419167161.mp3
关于砂糖自己·「生物炼金」,「生物炼金」，比起「创造」，更注重「改造」，找到生物隐藏起来的优点，然后放大，结合，结果往往都让人大吃一惊。嗯-生命真的是太神奇了，究竟还有多少我们不知道的东西呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/60b8f603d409f5adfb582adf6362d583_2119869131610134822.mp3
关于砂糖自己·怕生,我…其实我不知道怎么和陌生人说话。每个人性格都不一样，在意的东西也不一样，一不小心就会不够礼貌，或者哪里冒犯了，唉…说话真的好难啊，比炼金术什么的难多了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/011b0e87014f2198553020b9c19e2c6d_1490179311361793734.mp3
关于砂糖自己·耳朵,你…你注意到了啊。我的耳朵是家里遗传下来的，和其他人很不一样，所以平时我都会用头发尽量把它们藏起来…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/366f6ec51e4175e8a1d4f4c3b7077569_8400419227360110078.mp3
关于我们·观察,我对你的经历，特别好奇，所以一我可以「观察」你一段时间吗?我会很安静的，不会打扰你，这样…你会介意吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/01e38a40beedfe7e7f97d4ab067c6fa1_8416408160857882774.mp3
关于我们·收获,老实说，一开始我看你不怎么说话，有点害怕...还以为是在哪里冒犯了你，后来时间长了才慢慢发现，原来，你还是挺好相处的。嘿嘿，这也算…「观察」的意外收获吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/4c5e9ff39f6a2da95eb9d4345c44e6bc_420425813538195721.mp3
关于我们·请求,听说，是你赶走了风魔龙?战斗一定特别危险吧，幸好你没事。那个…有件小事，风魔龙它在战斗的时候，有没有，掉下来什么东西呢?鳞也好，皮也好，一点点就可以，我想，研究一下...,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/1fd95defd4e68b269f60080e1b8cae41_5790319769756446126.mp3
关于「神之眼」...,「神之眼」，是我最重要的实验器材。欸？就、就是实验器材啊，没有了「神之眼」，很多跟元素相关的实验，就没办法进行了。你说战斗?啊…偶尔吧，去野外找材料的时候，偶尔会用到。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/3cfb804da655a36114494bd68a692b68_3761789767331305939.mp3
有什么想要分享...,这个房间里，都是我收藏的骨头。放在左边柜子里的，有蜥蜴，青蛙，还有草鱼，挂在前 面的是野猪，右边角落里的那个，是丘丘人…啊，别紧张，不用害怕，其实都是很可爱的东西，习惯了就好了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/91d58ba648df39f7632f14a3cc34ae29_5120817877585197042.mp3
感兴趣的见闻...,你看，种在这里的冰雾花，其实每一朵都不一样。这一朵冰元素含量更高，这一朵花期更长…嗯?你问那一朵，哦，那一朵叫「叁式冰雾花改十七号放大版」，特点，嗯...就是更大一点。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/61c50e6995cdf287f096c3ac6dd21b2f_6440931219971072435.mp3
关于诺艾尔...,她…经常会主动帮我的忙，但有时候太热情了，反而…让我有点苦恼。有一次，她看到我实验室门前堆了三箱器材，就很麻利地帮我搬了进来，但其实…那些都是我刚刚搬出去的。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/b06d99fd7c509fc5c4d28104c2438b6e_4185805479784723814.mp3
关于可莉…,她已经被琴团长关过好多次禁闭了，但只要被放出来，不久就又会闯祸，唉，不知道有没有真的反省过。啊…我答应她，要帮她做一个会蹦会跳，又很安全的蹦蹦，只不过现在，设计上还有不少问题…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/caec6f6905116b1b26247d9c1988a72e_4332761323705547922.mp3
关于琴...,我有点不敢和琴团长说话，因为她太严肃了…我知道她是个很好的人，但、但知道归知道，怕…还是会害怕。我一般都不会去打扰她，实在有不得不找她的事，我…我也会拜托阿贝多先生。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/12e5e50508186ac35b71df42fd727e2c_8598848099940312864.mp3
关于丽莎...,我觉得她，好像懂的特别多。她明明没有看过我的研究，但有好几次，都给了我最关键的建议。她到底是怎么知道的呢?是…观察?还是推理呢?,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/cb6740f47b58e2f37930e881d2634078_5632541584613524727.mp3
关于凯亚...,唔…我知道他喜欢开玩笑，也没有存心捉弄我的意思。可是，我实在是…分不清他的哪句话是真话，哪句话又是玩笑，所以最后要不然就变得很尴尬，要不然，就是我出洋相...,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/2b99a7d24c489f64c58ce865b59f805a_2119869131610134822.mp3
关于阿贝多·艺术,当他的助手，每天都能学到很多。重点不是知识，而是「天才」的思考方法，无论是多么复杂的问题，他总能抽丝剥茧，再一一解决。在我看来，那就是艺术...,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/e0353d3e268353a5491221945edb2037_876606070248044454.mp3
关于阿贝多·天赋,你说天赋？嗯…假如和他做同样的研究，可能确实一辈子都没法超过他。但，我研究「生物炼金」并没有故意要躲开他的意思，只是…嗯，我和他恰好有不同的爱好，还有梦想，仅此而已吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/31153611/3a6f80d1a98f374fa02025bcdaacaa66_7372490691278471104.mp3
