topic,text,audio
初次见面…,此前听绫华屡次提起阁下，不料公务繁忙，直至今日才有机会相见。神里家家主，神里绫人，今后请多指教了。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/0562acf9fedc3ee67c219681ff7d1353_7024223847223614951.mp3
闲聊·大少爷,好像忘带什么东西了…算了，等想起来的时候再差人送来好了。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/48c75a64ebbcfb05fc932e844eeed651_4673026710731406933.mp3
闲聊·收网,暗线已经布置妥当，嗯，差不多该收网了… ,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/9d5dc51132f3375444d9d9bcfc560c4d_6488838811786390264.mp3
闲聊·恶趣味,一想起家臣们一脸焦急却又不敢开口阻拦的样子，就忍不住觉得有趣。呵，出来走走是不错。 ,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/6efd270753977cf14cfbd9db56c4b9ce_9104018409907297101.mp3
下雨的时候…,暂且先避下雨吧，不必着急，很快就会有人来送伞了。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/89838780ae6815c88f7cdc1ed6b04b99_8142425883617929097.mp3
打雷的时候…,绫华自小害怕打雷，直到家母告诉她雷声是大御所大人的倾诉。从那时起，每逢打雷她都会神色专注，仿佛这样就能听懂大御所大人的言语。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/d4096b4184000dbb39ae6f767b45d872_7820546697143801091.mp3
下雪的时候…,如今的雪景，与多年前的那场雪…并无二致。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/193d2b8789ce2c6ed2eb006db0c6a4b8_3234685539986790871.mp3
阳光很好…,能悠闲晒太阳的时间可不多。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/fca446df781ab7dfb7f5530c3624500d_3916079091382809787.mp3
起风的时候…,有些「突发情况」，看似细小如微风，却会影响到最终结果…呵呵。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/a68fc8336a2fee566bfb0a455885b679_4573569033824667982.mp3
刮大风了…,大多数人会因为大风迷眼而止步不前，只有少部分人能够借势而为。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/86f09fb4bcac11b91414ee5d37866d64_8616362563995150937.mp3
早上好…,早上好。清晨适宜练剑，放松身心。我一般不会让人安排公务。如何？要过上几招么？,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/f4c180cb6bbf8d1d1e5a7d56ad5b1690_5595230207171683244.mp3
中午好…,午饭如果有偏好的菜色，提前和家仆说就好。你是我的贵客，他们也应对你尽心尽力。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/7d73ea9521aa379bbb31b7b47c96faee_4451073008647689826.mp3
晚上好…,既然在这个时间点找我，不如留下来吃晚饭吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/e6d626f7846d5c1c446de9b3c44cb3c9_3524083794028164585.mp3
晚安…,到洗漱的时间了是吧，你先下去吧，我还不困…呃，是你？我最后再整理下今日的公务便好，你也早点休息。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/93a19c4eb52a796c5900824a865bdd4a_4288327020022263278.mp3
关于神里绫人自己·代价,万事皆有代价。既然寻求常人无法企及之事，那就必然付出世人无法想象的代价。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/6b7e4c34b7f2458fec904819dee5b6bb_5715214120349673048.mp3
关于神里绫人自己·手段,我并不是拘泥于手段的人，无论采取怎样的方式，只要能够取得合适的结果就好。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/60b29aab128edc3527418373d3bc959e_766899614305159462.mp3
关于我们·趣事,呵，我听说了你们在天领奉行那边发生的趣事。能让九条老头气得掉头发的人，真不多见。只可惜没有亲眼见证这一幕啊…,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/010d981fdee3fbc28543f8bdbf3a667f_8818662819252022440.mp3
关于我们·信任,信任他人不是一件容易的事，特别是对于位居高位的人来说。一旦错付了，付出生命的代价也不算少见。不过，你已经给了我信任，那我自然也不该辜负。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/06458c16369e48435f25bad46eff9401_8052563183085934335.mp3
关于「神之眼」…,既然有「神之眼」这么方便的道具，自然是要好好利用了。能在我的手中像这样焕发光辉，它也是高兴的吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/c1ce54e4b0da3c8713cf47ea4088a3ed_5197293494564360604.mp3
有什么想要分享…,将落花投于暖炉之上，在炉火的炙烤下，花会短暂地恢复生机，最后一刻的红艳更是压火光一筹…倒也没有枉费短暂的一生。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/4c7042dbd405ea9035e40066404b49f3_2464547034411426707.mp3
感兴趣的见闻…,说起宠物的话，嗯，我更喜欢狗。猫自我主义的特征是不错，但只有狗会乖乖听从主人的命令。忠诚而又坦率，呵，真是惹人喜爱啊。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/c1885992fbd9d44ea17c80b2bb3f1a38_7961970643200812216.mp3
关于神里绫华…,我相信绫华的能力，但我也希望她能够保持一颗纯粹的心。权力斗争她不必参与，人世阴暗她也不必直面，这些理应由作为兄长的我来一一扫清…不小心说太多了，就当是你我之间的秘密吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/d4e2eff43e304d9e629a1e786a2de0d4_3222900402837282632.mp3
关于托马…,托马对神里家的忠心毋庸置疑。很久以前我曾试探过他，如果不想往后被卷入无尽纷争的话，最好早日离开。他却还是留了下来，一直跟随着神里家，让我也省心不少。…现在，我完全信得过的人很少，托马算是一个。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/741f93d4ed9db7b568106c1b37548fb8_4436932312180598266.mp3
关于早柚…,她平时看起来是懒散了点，但在适当的时机，却总能给予重要帮助。你应该再清楚不过了吧？,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/a60dbf9b05dd46ed16af444b410facd0_2625874208608480669.mp3
关于宵宫…,那位…为人爽朗的烟花店店主么？嗯…她和神里家往来还算密切。她和绫华年龄相仿，也很投缘。绫华恐怕也不会因为她的快人快语而困扰。毕竟绫华那孩子在小时候，就能坚定地守住本心。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/f1dbadca7525db9c78a4dec1f3832cfd_6655139929340919612.mp3
关于雷电将军…,为了追求「永恒」，将军大人以及整个稻妻，都付出了不小的代价。伤口需要时间来愈合，作为政局的调和者，我必然会尽到我的责任。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/f01f5541177d9da7d8dd1f479c079fc9_8053150135140596051.mp3
关于八重神子…,宫司大人于神里家有恩，可她却一直不太看得惯我，呵，恐怕你没少听她「那小子」「那小子」地称呼我吧。由于业务交集，我们偶有碰面，虽说大家各怀心思，但工作起来也称得上融洽。我并不讨厌这种感觉。嗯，与聪明人一起办事，效率就是会高得多。况且就算她再讨厌我，也不得不承认如果没有我，就没人能实现得了她那些「奇思妙想」了。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/e52f8648a87039c19e40d40d63249e07_2279088554948725058.mp3
关于九条裟罗…,九条老头打得一手好算盘，磨砺出了一柄利剑。哼，只可惜，他没有算到，自己做不起这位执剑人。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/cf114405a8acdd19536e4b58cc1f413e_4427392263101555173.mp3
关于枫原万叶…,枫原家曾是神里家的下属，神里家的先祖当年未能保护他们周全，到我这里，仍有义务照拂他。虽说无法助他重振家业，但帮他逃脱天领奉行的追捕这种事还是做得到的。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/b9d289386bc1a87f25ed6f364821e210_3665428165031859313.mp3
关于荒泷一斗…,那家伙实在是个有趣的人。让温顺的鬼兜虫相互争斗，哈哈，有意思。嗯，虽然那次点拨实则是不经意之举，但没想到的是，他竟会直接与我称兄道弟，而且时至今日都还没发现我这位「绫人兄」的身份。呵呵，这样也好，我并不讨厌…单纯的人。,https://uploadstatic.mihoyo.com/ys-obc/2022/03/30/281568003/7873800d4fbdd158c1e1cc163ef61f96_4840881887802956833.mp3
