topic,text,audio
初次见面,"稻妻神里流太刀术皆传——神里绫华，参上！</p><p style=""white-space: pre-wrap;"">请多指教哦。",https://uploadstatic.mihoyo.com/ys-obc/2021/07/27/145906584/af61ffc12c580295d7fa444438d627b5_3667465653295746178.mp3
闲聊·安定,像这样悠闲安稳的时光，如果再多一点就好了…我真贪心啊。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/b6adc8389cd9f3f6cdbd416bf4cc03c0_4244086213726367770.mp3
闲聊·剑,剑，就和茶一样，细细品味才能理解其中风雅。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/6ce18dfa781fe15ec6aa47225a3ba216_4649468172533575002.mp3
闲聊·出神,这就是旅行者平日里的生活么，呵，感觉又多了解了你一些。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/f5549f859816c6a0e7bf0f92d10e9499_8677146259761024449.mp3
闲聊·名刀,刀剑抱业，名工怀宝。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/e3bc40db79aa56a925e1d70cc172a974_7593527390561093349.mp3
下雨的时候…,请随我一同避雨吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/2c15e3352485e4f7ee5fb582cefbe158_6443689000894524524.mp3
打雷的时候…,大御所大人…是在诉说什么吗？,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/73584e4521f41ae15fe2df5befcf1afa_4627518787349210527.mp3
下雪的时候…,"「雪霁银妆素，桔高映琼枝。」嗯…美景当前，只差一壶茶与之相衬呢。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/85696d83c782ccabf51fc36fad044402_1109462617751041192.mp3
阳光很好…,"风和日丽，要去哪边走走么？</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/f77493754dd9814a2c9e64d3ca646a3c_5956477821994998273.mp3
起风的时候…,"闭上眼睛，向着风吹来的方向…怎么样，很舒服吧？</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/1e1f3ce9027393ff08b15a114e5948b3_2229302265672042282.mp3
早上好…,"早安，旅行者。能像这样在清晨见你一面，我会忍不住觉得…接下来将是顺利的一天。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/b7a740c52c79c5eae972ab543d0ef951_5366098857637830216.mp3
中午好…,午安。茶饭之后，难免略有困倦。是否有兴致下盘棋提神呢？,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/1e919bd93e215af968d34ac5af9586d8_606170143996948931.mp3
晚上好…,"晚上好。夜风舒畅，会是一个良宵呢。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/2929c2c81f59c7e0ea745229ff03bc3a_3875273810171188821.mp3
晚安…,「若知是梦何须醒，不比真如一相会。」,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/cad4ac91c60114b41daba4c7159df594_5081257121151896049.mp3
关于绫华自己·社奉行,「稻妻幕府社奉行神里家」，位于稻妻名门中的笔头之格位。作为三奉行之一，掌管祭祀活动与人文艺术。自从双亲过世之后，族内的大小事务，便由兄长和我承担了。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/ae2a6308fc5f914d474917467dd01d30_2181898609235530541.mp3
关于绫华自己·地位,"很多人因为我是「白鹭公主」，是社奉行神里家的大小姐而敬重我。他们所敬重的，只是我所身处的地位，与绫华我是怎样的人并无关系…</p><p style=""white-space: pre-wrap;"">所以我想，能真正走近我的，或许只有…",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/a08ba307194eb18bc666507765d0e8bb_6204171156546678200.mp3
关于绫华自己·愿望,如今的我，依旧想成为值得大家信任的人。不过，鼓舞我的原因，已不再是肩上的责任或他人的期待。而是因为，你也是这样的人啊。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/0dd45b98f619066074943bd87a2edfde_2056767309262429471.mp3
关于我们·茶室,如你有空，我们移步木漏茶室如何？在这样恬静的日子，略加交流茶艺心得，想来是颇具雅趣的。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/81cfcc4abda04c913c72842aa6454038_1241437892484754310.mp3
关于我们·节日,如果有机会的话，我想试着和你共度异国的节日。需要遵循的当地风俗、礼仪规范，还有伴手礼的推荐，可以麻烦你…一一指导我吗？,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/3fe81aa348e57a0c23720bd3963ffe37_3446404923743179035.mp3
关于「神之眼」…,"「神之眼」，即是胸怀大志之人所获的印绶。如果问我有什么志向的话…这个还是保密吧，只是一个微不足道的梦想罢了。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/449f9bc319cf85d90a596bfe93a7e33d_4732149580538407258.mp3
有什么想要分享…,试问，常说「禅茶一味」，又说「剑禅一如」，那么剑和茶，又是什么关系呢？,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/2db0f44899683f6bdf339b55d2887705_3536514220310232353.mp3
感兴趣的见闻…,你在城中，见过枯萎的樱花树么？这种「枯」之美，让我想到春天盛开之景。不过别人似乎并不这么想，不再开花的樱树会被移走…就算一次也好，真想看到它再次开放。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/b42e95eb3f22b3f23e05264c38ca2a7d_565669291995028892.mp3
关于托马…,托马是我很重要的朋友，他的开朗和阳光总是感染着我。某种意义上来说，他就像是我的另一个兄长一样，已经成为了「神里家」的一员。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/889235b5c4572a9f156ee19558ec925a_5906419515618478166.mp3
关于九条裟罗…,为「天领奉行」工作的九条裟罗…她总是一脸严肃。我和她曾经起过几次争端，不过她本质是忠义之士，这点无可否认。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/2778e7187abb29adfd44ac50af9d218f_1055004078523867002.mp3
关于鹿野院平藏…,鹿野院先生？他和九条小姐一样，是「天领奉行」的人。他…也是一个很有原则的人。对于这些「原则」的坚持，甚至比九条小姐更执着。只不过，什么事应该被算在这些「原则」之内，我想，或许只有鹿野院先生自己知道吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/c0dec4877c2cb949079a41f0c2562fb4_5617052547396402229.mp3
关于早柚…,早柚这孩子，最近有没有给你添什么麻烦呢？如果看见她偷懒，可以直接告诉我。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/86b0b8d0803f4de1b95ead8806c6dd6e_5740478965376093400.mp3
关于雷电将军·猜测,对大御所大人的看法吗？这并不该由我等下属随意议论。但…将军大人她，在追求「永恒」之路上，可能也很孤独吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/c62029e46d0d42d543daaaf75597569a_1719842464156241965.mp3
关于八重神子…,我和八重宫司大人的合作向来很愉快。你看，操办节庆庆典非常劳神费力，营收多半也不好看。但是八重宫司大人操办的产业，真的既风雅又有收成。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/b3018d44728df4e35fa85d448ddede26_165120929980184289.mp3
关于神里绫人…,作为神里家的家主，兄长平日需要出面诸多场合。我虽尽力分担兄长肩上所负担的责任，却也无法缓和他常年积压在身的疲倦。唉，就当是为了妹妹着想，希望你能劝言，让兄长多多注意身体啊。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/d322e793ce76c926077aa8ea405dacc7_7615221952815924982.mp3
关于宵宫…,"操办节庆庆典是社奉行和巫女众的责任，那位烟火专家也的确能让气氛热烈起来，彼此合作多了，因而渐渐熟络。</p><p style=""white-space: pre-wrap;"">嗯？治安和消防问题吗？我们也会一并纳入预先规划的。因为这些原因而看不到烟花，才会让人们心中留下缺憾吧。",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/a3d58d54c8d7385e09fbb8cae7bd4f8b_2748630764880958393.mp3
想要了解绫华·其一,"你的请求，对我来说很特别呢。既然把你当做朋友，我也应坦诚以待。不过，事关神里家的秘密，还希望你能守口如瓶。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/ea76b640ab6c95175536842ad1a0f173_3957742689189514054.mp3
想要了解绫华·其二,曾经，神里家因为没能保护好国宝级别的刀工，遭受了不小的冲击。受愚人众阴谋算计，我们折损了诸多臣下，受到许多责罚。父亲甚至因之早衰，神里家在幕府中的地位也一落千丈…好在兄长继任后力挽狂澜。不过，家门虽已复兴，社奉行一系也上下齐心，但大事要事方面，仍靠兄长定夺。,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/2501cfd9b73339ef5b3937eb199461a9_6478529567290084750.mp3
想要了解绫华·其三,"将军所传的锻刀之术，也因星象、用途、矿质、炉火环境、人之性格、元素变化的不同，而有所区分。即是刀工之间所说的「雷电五传」。能锻造名刀的刀工，也被算作是本领通神的神事相关人员，归属统筹文化、艺术、祭祀的社奉行一派管理。因此，出现了刀工背叛的事情，自然就是神里家的督办不力了。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/03e24becc0e797ebf5972d02702d876c_5798522713338533876.mp3
想要了解绫华·其四,"对我来说，母亲是意义非凡的存在。端庄、优雅，无论遇到怎样的局面都会露出沉静的笑容，以从容不迫的态度，操持着神里家大大小小的事务，说母亲是完美的化身也不为过。但自从她离世的那一刻起，我就深切地意识到，我已经不是那个可以躲在母亲身后的小绫华了。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/4b05ce4a3dc86a215665b6a0f91b99c2_6755198020381358127.mp3
想要了解绫华·其五,"接下来要说的话，可能不太符合「稻妻幕府社奉行神里家」的身份。不过，就我的判断，你应该能容许我小小的任性吧？</p><p style=""white-space: pre-wrap;"">…稍微有点累了…可以让我靠一下你的肩膀吗？一下就好。",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/60f56821ffe99a3ec6bc40a0d46f5d17_8655915605703774059.mp3
绫华的爱好…,"风雅之物我都很喜欢：雅乐诗词、棋艺与舞蹈。你也感兴趣吗？</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/38d8163da59df703df9c54b9d02d46e7_6813380971399476886.mp3
绫华的烦恼·忧虑,烦恼吗？啊，是啊。只要生活在这个世界上，就难免遇到种种不如意的事情。但如果是因为自己的事情，就让周遭的人担心的话…果然，我还是不能说…,https://uploadstatic.mihoyo.com/ys-obc/2022/04/21/145906584/869f3a71d80e7bc3aad66dab82a9da29_5717358003468619977.mp3
