topic,text,audio
初次见面…,这位信徒，如果遇到难以解决的麻烦，可以来找我，如果只想祈祷，还请找其他修女。<br>…嗯？你不是信徒吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/59b8d89f60cbcbccd43c0b0034e80c9c_8431289848350378081.mp3
闲聊·无聊,还不走吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/e697be9515c58a36de5ee40da93fe694_4056785391132769257.mp3
闲聊·加班,什么都可以商量，除了加班。,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/bee28a91c37d3617045d1b889c88892f_6187885152668019903.mp3
闲聊·蒙德生活,好好完成工作，好好度过每一天。蒙德的生活不就是如此吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/52ffc78c844b7a8c595b3f981967414c_4599572650236839573.mp3
下雨的时候…,唉，影响效率。,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/9b366f96a337c6f0d86ef91a95d38300_2632812530576824312.mp3
打雷的时候…,嘁，麻烦。,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/3de8bcb4388c541fbba3b6e16cbff737_5808935458695425066.mp3
下雪的时候…,雪天赶路，最好小心一些。,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/fc7a8d7d4591d8df482d8adf2d931982_6287550781538873928.mp3
刮大风了…,是风神巴斯巴托的庇佑吗？等等，好像是巴托巴斯…,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/d6f19169e376f8185d2de3950d514c26_1083355104551982028.mp3
早上好…,早安，哈…晨祷已经开始了吗？也太早了,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/f7dee112ecea09876884ec8c7bb58c15_3435242511913601177.mp3
中午好…,午后的阳光对睡眠有好处。你也试试吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/03260419585cfc328bb36e34d1247b50_1176487007878708909.mp3
晚上好…,晚上好。晚间祷告的话，我不参加。嗯？不为什么。,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/7b250438d8ff2e3bf1035145ce1a389b_6298540247118483240.mp3
晚安…,去休息吧，不用操心，剩下的事我会处理。,https://uploadstatic.mihoyo.com/ys-obc/2021/04/22/76953456/79b0bc8e7c789fca758cd790d84002c6_2126260808892457025.mp3
