topic,text,audio
初次见面···,唷，找本堂主有何贵干呀？嗯？你不知道吗，往生堂第七十七代堂主就是胡桃我啦！嘶，不过瞧你的模样，容光焕发，身体健康，嗯···想必是为了工作以外的事来找我，对吧？ ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/8580dcc99e10b8883d5aa15789d8ad9c_6772708545257464188.mp3
闲聊·往生堂,不如去我那喝杯茶？嘿~,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/4e3f8f009e89b4640ac396efe5ace533_8209442751760448309.mp3
闲聊·客户,一个客户，两个客户，三个客户··· ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/2a3aef02bccdb7bcb02e3c45f23c69fd_6951049147655206259.mp3
闲聊·偷懒,太阳出来我晒太阳，月亮出来我晒月亮咯~ ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/5402f5977c1bd4a573d9567da542b056_4548873219599584918.mp3
下雨的时候···,哎呀···麻烦喽。  ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/7dd9aeb46459e99a4d4f4dc9f788de34_2998374840874536236.mp3
打雷的时候···,打雷啦，起身啦。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/b1367e871684a6f264814923eb992ee0_7677210629611403765.mp3
下雪的时候···,哇，是雪！  ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/457652e28c438050da014ece84d0ff44_8147449489883166837.mp3
起风的时候···,嗯，真舒服。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/ce31a91c4f076ea0345c52562ca802e2_395574326852554252.mp3
刮大风了...,欸？...唉，帽子都要吹飞了。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/18/291696164/45a5d54bb8b6db8ec47f6e5e3d191678_4663923157982387464.mp3
早上好...,嗯~早起身体好，晚睡人会飘。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/2819ed51049e1073629cfcffe3cfc945_7818741858988308024.mp3
中午好···,哟！中午好呀，吃了吗？ ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/f08b30e772d29e6545a35d79985bda7c_901030458439564540.mp3
晚上好···,嘻嘻，月亮出来喽~咱也出门吧。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/3ec51b7f0fc3cfb9f854d315bb7fa6a5_398857269050719451.mp3
晚安···,哦，困了吗？那你好好休息，我一个人四处转转。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/57a81b44b4f47ac093a2a1805e435647_5804668649656673123.mp3
关于胡桃自己·名字,胡桃的胡是胡吃海喝的胡，胡桃的桃却不是淘气的淘！嘿嘿···不，不好笑吗？ ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/14/4359827/e852f9a29ee9d95c5cc4d9adb30c71d6_5854774185422371549.mp3
