topic,text,audio
初次见面...,作为荒泷派的大哥大，本大爷的名号早就威震四方了。「荒泷天下独尊一斗」、「荒泷相扑鬼王一斗」、「荒泷鬼族骄傲一斗」、「荒泷鬼兜虫角斗士一斗」、「荒泷卡牌游戏王中王一斗」、「荒泷可以输但绝不认输名副其实男子汉一斗」…这些都是我常用的名字，你可以挑个喜欢的随便叫，不用客气，哈哈哈哈。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/c068b324af527cb58be3ebfa3e663dc0_3909266259468522998.mp3
闲聊·到此一游,嘿嘿，荒泷天下第一斗到此一游！ 哈哈哈哈…咳…,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/01a78ab9b156f603a111db43bef571ec_2889955690348543895.mp3
闲聊·零食,轻易得到的东西哪有滋味？所以，零食我从来不会用摩拉买，都是堂堂正正地赢回来。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/04bff313b6c27b099db88cfd7f41b08e_6463795303336684542.mp3
闲聊·斗虫,不要小瞧斗虫啊。在一次次拼搏中，用汗和泪浇灌出更强的自己，这就是人生啊！,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/9bbfce613d35ddc11c5f7a385008e9df_5539129363431395017.mp3
下雨的时候…,男子汉从不打伞…啊这雨也太大了吧，快，快，快开伞！,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/f47bf56885986476b74c2e718baac93a_3673299842812785179.mp3
打雷的时候…,喂！雷电将军对吧？听着，本大爷就是不服！有本事，劈我啊！,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/c00d84f6147dd5589427ea9050a8caf0_7010459144696702620.mp3
下雪的时候…,喔吼…来滚雪球吧！你是赢不了我的！阿…阿嚏！…呼。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/43d111dfb41055702390beab039496ef_168562145589442799.mp3
阳光很好…,天气真好！该把我珍藏的鬼兜虫拉出来训练一番了！唔！,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/5315a79a18007b25cad2d99d2bff2d2a_7466985033450701217.mp3
刮大风了…,风再大，发型也不能乱，这是男人的底线。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/e7fb74687284ed9aee71cdf0213b1d01_4379813870623212314.mp3
早上好…,早啊！…已经没有摩拉了，但今天还是不想干活。不如想想去哪里玩吧？,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/84dcf4a8603b368e855c32810901b0f6_4549592803293676724.mp3
中午好…,吃饱了去哪里逛好呢？花见坂…都逛烂了，嗯，也不适合去天领奉行那闹…嗯算了，去离岛遛遛吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/16/291696164/4dc298ce012dfc58cb0a617dfce6d2ab_1022634872562486543.mp3
