topic,text,audio,
初次见面…,我的名字是阿斯托洛吉斯·莫娜·梅姬斯图斯，意为“伟大的占星术士莫娜”。如果想找我占卜，记住我的名字是最基本的尊重……而且要一次性全念对！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/6d3e67dfd69464514d0827776967af6f_1905997608214942919.mp3,
闲聊·占卜,占卜就是把既定的命运准确地展示出来。过度的修饰，只会让人们产生误解。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/0b0d3e0bf9d80feda3dd75c893e7562a_4307423813126030862.mp3,
闲聊·生活,限制物欲是占星术士修行的一部分，只有简朴地生活，才能窥探到世界的真实。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/901e1035e700f4c3b8f218a5c2d77ef6_8962893742524056389.mp3,
闲聊.命运,正是因为无法更改，无可违逆，只能接受，命运才会被称之为命运。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/02ee232996da72d989c498d700ef8c40_2623281439282998288.mp3,
下雨的时候···,这么大的雨…不仅看不见星光，连水占盘都模糊了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/8e9271fd51545950cb2f4a52d3d3a719_315413168311738663.mp3,
打雷的时候···,这些落雷…究竟是从哪个星空降下的呢?,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/df2cd6b2a6838fd962dd1bd29c61c836_6588736666730438758.mp3,
下雪的时候···,纯净的融雪之水，很适合用在水占盘里。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/18295255eb149c00b9b6aae9fc576301_8686253979598646876.mp3,
阳光很好···,嗯，是个无须占卜也能感觉到的好天气。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/226f54027b434a2e5f7e52b7cdfb2c31_8085814175083529401.mp3,
早上好···,你来得不巧，清晨的启明星刚刚消失了……早餐？我，我已经吃过了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/87af82b1bb204dc1f7abbb33da36dbce_1204505379849243402.mp3,
中午好···,已经正午了，去吃点东西吧，嗯？我……我吃份沙拉就行了，呃……简朴的生活是……是占星术士修行的一环！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/8fa8b9874d3a66fea5f46942d6e7409b_8300925850923529463.mp3,
