topic,text,audio
初次见面···,菲谢尔：我即「断罪之皇女」，真名为「菲谢尔」。应命运的召唤降临在此间——哎？你也是，异世界的旅人吗…？那好吧，本皇女恩许你同行。 奥兹：她的意思是「你好，很高兴认识你」。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/e9bd4e1506cb863b1a7bc5526f2a066b_2172203367328203332.mp3
早上好·问候菲谢尔,昼夜时空皆为虚像，命运的纽带却再次将你带到了我的永恒长夜中。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/bd2912d54aa5f929c1cc7418975086a1_2625159167317091353.mp3
早上好·问候奥兹,奥兹：早上好！听说你要来，小姐在准备早点… 菲谢尔：奥兹！…咳，有何贵干？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/ffc2964920bac242a09bfc7a091fd2c7_2943577356561219037.mp3
中午好···,（哈欠）…即使贵为皇女，在这样的时辰也不免困乏…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/fcf7e54f9e61adac129f215f8f15d6d6_5749241785197009877.mp3
晚上好···,菲谢尔：天穹上的星光，都是奥兹在无尽的夜幕上啄出来的洞。 奥兹：是才怪啦！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/eff449409b735a8115d13bbef8be1c38_2718953780163278997.mp3
晚安···,菲谢尔：你的深眠将平安无梦。毕竟，岂有梦魇，敢染指幽夜净土所祝圣之人… 奥兹：她说「晚安」。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/8073d31b6765f30b831825d55e5d221b_468537075888828585.mp3
闲聊·真命低语,我听见命运的嚅嗫，低声呼唤我之尊名…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/84f6c776621e68cc730378dac2fe9246_6120984579721114379.mp3
闲聊·天地创造,哼哼，就让皇女的光采荣耀此间天地吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/bb44726ca55f97d1b892f6e841ab5c4f_6822449029195396445.mp3
闲聊·彼方之人,菲谢尔：不知在遥远彼方的扈从… 奥兹：毋须担心冒险家协会的大家。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/1bca2238d9118e34708df911990d60b8_5072025492671794937.mp3
雨过天晴···,天晴了吗，真舒…咳，此间须臾的霁月光风，就如命运的转折点一般呢！愉快！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/eeedb879ff63ceaf1847279c42506da2_5749241785197009877.mp3
打雷的时候···,菲谢尔：啊啊，看那昭告命运的圣裁之雷… 奥兹：这么说来，是不是还有衣服没收？ 菲谢尔：欸？！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/35920ee5e01eba43b5bea27a65599e7f_1911183334385968738.mp3
下雪的时候···,菲谢尔：哼哼，这可是好光景。就像在「那个世界」，罪人的血与泪在「断罪之皇女」面前凝结的模样呢——啊、啊——哈嚏！哈嚏！ 奥兹：面对小姐，罪人的鼻涕恐怕都要凝结了。 菲谢尔：奥兹——哈、哈嚏！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/e0893b01042f8a336abcdcbf61014b59_6348238296940192770.mp3
阳光很好···,菲谢尔：奥兹，我之眷属啊… 奥兹：喔？怎么突然—— 菲谢尔：以皇女之名，以你的祝圣之翼，遮蔽日月星空，带来永恒的幽夜吧。 奥兹：...不要强人所难！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/5c9b87a89a2311fa9de49c9c9c3e019b_1810622425756032877.mp3
关于我们·降临此间之人,我与你同为异世界的旅人，在此相遇。错不了，想必是命运的意志吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/18961fbf185c2f7af5b678831769a85b_6875028175648094757.mp3
关于菲谢尔自己·断罪之皇女,菲谢尔：我吗？哼哼。记好了，我乃幽夜净土的主人，「断罪之皇女」菲谢尔，裁断此世一切罪责，透彻此间一切真知。 奥兹：就是冒险家协会的调查员。 菲谢尔：…那只是肤浅的表象！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/87267addc7586918d58493c5b177e43c_2149940866838018391.mp3
关于我们·射落世界之兽,看你有什么烦恼的样子…？旅人啊，不必困惑。 因为，我以我的左眼，这只透彻因果之丝的「断罪之眼」，守望着你的命运；以奥兹那见证过一千世界寂灭的鸦眼，观察着你的进路。假若名为「世界」的夜巡凶兽觊觎你的梦想，那我便以断罪的圣裁魔矢将其射落！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/1d9c68031efa6a025d78219ecf6fee7a_8785926029625876079.mp3
关于我们·重要之人,菲谢尔：奥兹，我之忠友啊…能遇到「那个人」，与本皇女同样不属于这个世界的旅人…连残酷的命运，也会对我罪孽深重的血脉，展露微笑呢。就算是我的命运，我无法逃离的「现实」… 奥兹：啊，我明白。那个旅行者的话，不管发生了什么，都不会抛弃小姐的吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/1c9a3b2fbc2725ab15b6bee8c61d21de_216338094189067827.mp3
关于我们·守望,菲谢尔：奥兹华尔多·赫夫那梵因斯。为我，为幽夜净土的主宰，断罪的皇女，做好献出生命的觉悟，守望TA注定多舛的命运吧。 奥兹：不要随便让我送命啊！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/2de2712638001a09430acd2332aadc0f_3213942616402332978.mp3
关于「神之眼」···,嗯？这个「渊色的幽邃秘珠」吗。那是我族的王器，向一切无礼者昭告断罪皇女之仪。即使流落到了这个荒芜的世界，王器仍然追随着皇族之血与崇高之魂，找到了我，这就是无法斩断的因果吧…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/1ae8934c84ef35de0b93272d88e324b3_5199968867366280737.mp3
有什么想要分享···,菲谢尔：这么说来，按照这个世界的历法，我有三千多岁了。当然，日月流转的虚像对看破三千宇宙因果的我而言没有意义。 奥兹：小姐，这招是骗不过酒保的，没到喝酒的年纪就是没到喝酒的年纪。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/9f47b96ac0d36626b982e2c19d4b498b_4981207168366114938.mp3
感兴趣的见闻···,奥兹的全名，是奥兹华尔多·赫夫那梵因斯，在「那个世界」主宰着三个宇宙的星海与夜空，以影之翼荫蔽所有战死的勇者之魂。 顺带一提，叫错他的名字会被处以拔舌之刑。但我是皇女，而你是我认可的人，所以我们可以随意叫他奥兹。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/bb758ce48676bf53949a009168349aad_8905902933890024334.mp3
关于班尼特···,菲谢尔：那位厄运的少年吗…错不了的，我这只「断罪之眼」见证过，他那被世界唾弃的悲哀—— 奥兹：那个倒霉蛋，置之不理可不行。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/6a546c80d0589c44bd230eb9e2fe064c_2478475125396953186.mp3
关于丽莎···,菲谢尔：那司书的魔女，坐拥着宇宙知识的宝库…如果能赢取她的信任，或许就能获得伟大智慧… 奥兹：她说「图书馆的规矩就是有借有还，再借不难」。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/4690da7bd5350f43665b6b8d91e506d7_2852029133745317900.mp3
关于凯亚···,菲谢尔：无法看透的真实，无法断明的因果，虚实交织的狂言…那个人，或许也与我一样，背负了「魔眼」的命运… 奥兹：也可能暗地里是个海盗…？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/8a517d90617d1c18ee86606550362a8c_6115552297719186810.mp3
关于莫娜···,菲谢尔：啊啊，那位「伟大的占星术士」莫娜…哼，此人曾经妄图窥探本皇女的命运，结果却浑身颤抖呢。 奥兹：当时占星术士似乎在努力憋笑，非常不容易。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/96144d644fa8f8b62095b50104d45f09_1561822545030262144.mp3
关于罗莎莉亚···,菲谢尔：她吗？似乎是虔信风神的忠实修女呢。 奥兹：虔信？忠实？ 菲谢尔：没错。有天晚上看到过，她对什么人说「以风神巴托巴斯的名义，去死吧」这样的话，想必是在领祷吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/d3e548facbc1d248f9a495ee7979fac0_2771874811309695683.mp3
想要了解菲谢尔·其一,哼哼，为应受罪罚之徒断罪，为命运青睐之人祝圣，以无尽的幽夜净土收容世间一切不被容赦的梦想，这就是「断罪皇女」血脉背负的沉重使命，谁人也不许质疑。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/c919cfc10a0cd4e467a2994f7be81d5d_8566122104702809234.mp3
想要了解菲谢尔·其二,我的左眼？我的左眼是透彻世间一切真相的「断罪之眼」。至于为何要遮起来…那么，窥见此间与彼方一切真实的负担与痛，你愿意承受吗？再说了，通晓此世与常世一切妄念与谎言，又是何等无趣的事，哼哼。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/adc3b16f7b06da2c79f6ef1db0185399_6382326213277993929.mp3
想要了解菲谢尔·其三,菲谢尔：风魔龙？那种本皇女寝宫花园里拴着的宠物级别的东西，没想到在这个世界也能形成灾祸呢。哼，一群没用的家伙… 奥兹：虽然小姐这么说，当时不也为大家担心得不得了吗。 菲谢尔：那、那还不是因为身为皇女，有守护尘世众生一切灵魂的崇高职责…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/31153611/7d63468e745057644411c590854fcb53_9018958622833442213.mp3
