topic,text,audio
初次见面···,在下行秋，不过书海一蠹。某虽不才，仍愿为君略尽绵薄。难得有机会说这种风格的台词，感觉还不错。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/c23f8a815b242ca004889d25c8c889a7_9199298264638937633.mp3
闲聊·无人夜,有时明月无人夜，独向昭潭制恶龙。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/35f1d2f0dd5da8767d23cc4621d1e047_261836780790953065.mp3
闲聊·文章,衣裓贮文章，自言学雕虫。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/6fa04099a589b0f77ef4f42c4620fc81_2545126132988547582.mp3
闲聊·偷闲,正所谓「偷得浮生半日闲」，哈哈。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/815c3fa112830db67d5f4cee14c6b934_5007770471436586208.mp3
闲聊·阅卷,如此如此···这般这般···欸？欲知后事如何，且听下回分解？唔···,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/322b213fc3d9300cc0921791f94f04a4_4875132753078734312.mp3
闲聊·新书,盘算着也该到「万文集舍」新进小说的日子了，不妨···我们顺道去看看？ ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/5c3e893dbf99d400bc8b5549e577db8e_7558278803606638779.mp3
下雨的时候···,这么说来，我们家出品的锦缎伞，好像既不能遮阳也不能挡雨，唯一的用处就是挂在墙上。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/7514f8050d4b0a3493681be36121d26c_4784942926143736670.mp3
雨过天晴···,晴了就好，不然藏书会生霉的。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/1ddf4c909fd52bbc60123ad29e55a8e3_8338626777841851166.mp3
下雪的时候···,只有这种天气的时候，我才会觉得家里比书店好。家里炭火很足，而书堆里就不准用火。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/92f3d88bed478477f2772a507856dc09_8905092157539791089.mp3
阳光很好···,练功的好···啊不，是看书的好时节啊。好啦，我脸上又没有写字，别一直盯着我看了。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/c957eb76fc3ebd88bbdebea8c20f0529_8097878576041149326.mp3
早上好···,早啊，早上的时间这么难得，能做做自己喜欢的事情就好了。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/ea527176ae1b6b4b542fdb9e89e57721_1248213372066304080.mp3
中午好···,午饭有点不想吃米饭，想吃糕点。待在书斋吃，父亲和兄长就不知道了···嗯？想一起来吗？嗯···只要你不把碎屑沾到书上就行。 ,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/992d5226477ffd7628377247ecc35972_409669390132060990.mp3
晚上好···,去偷点萤火虫来看书怎么样？唔，我的玩笑话你可别当真，对眼睛不好的。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/6a458853618b75ef582417e66b045507_5936720985315355636.mp3
