topic,text,audio
初次见面...,我是辛焱，璃月港唯一的摇滚乐手，最近在想要不要去其他地方巡回演出，目的地的话…啊，听说你是走遍了很多地方的旅行者，对吧？让我加入你们吧！去哪里都行。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/710eec46f228cdaefa312b76929cc364_3773072083327988704.mp3
闲聊·气势,摇滚不可缺少的，就是激情——喂，别发呆了，快动起来！,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/318d7b0716c81a78456d0379e6d78581_2144763982200027942.mp3
闲聊·新曲,要不我来弹首曲子给你听，我新写的哦？,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/eb56692f5fa631221de1a19a206b3947_5609975682935960614.mp3
闲聊·注目,快看那边！好像有很摇滚的东西！,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/2d5b64d8bf8ae4efee4df09608dee01c_6896502289851828353.mp3
下雨的时候…,这么大的雨…可不能让琴被淋到了啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/0cb6c130cd9e7dcf5e562356834e08ed_4157584251241077035.mp3
打雷的时候…,看样子这雨一时半会儿不会停…嗯，但演出不会推迟！,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/0bc2487b6835d9617c22413dcf3846bc_6848114093368430248.mp3
下雪的时候…,唔…这种天气要怎么吸引观众呢？对了！来一场「暴风雪极限耐力摇滚挑战」怎么样！,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/0abfdbb5d74c19e0ea21bfadda277fd0_416307613814962627.mp3
刮大风了…,呜哇，快找个地方躲躲，不然发型要塌了！,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/7c17b4d48514b39ee4b32bac61d1442c_3398964544755398349.mp3
早上好…,早啊，我刚刚在开嗓，今天嗓子的状态也好得很呢。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/c37c3e406694f2684008f826ef65084f_8417249114077557370.mp3
中午好…,啊，收工了收工了，哈…没什么事的话，我去打个盹儿。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/d7c8f7f00e9cde1bdd15f317c2e8462d_4538275768788992874.mp3
晚上好…,马上就要演出了，你也一起来嗨吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/afd03ad69753031cdf7e5bf4b44e867d_5839483430914158464.mp3
晚安…,哦，好的，你先去睡吧。我吗？我还要保养我的琴，还想改改曲子，嘿嘿，刚从舞台下来，睡也睡不着的。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/31d64685872278f3d0491f5504aa68d1_5473470588130753996.mp3
关于辛焱自己·凶恶,你居然不怕我？唉，有人说，我眼神跟刀子一样，衣服不好好穿，讲话也不守规矩。他们一看到我就躲得远远的，哎，真是…只是风格不一样而已，我又不是什么怪物…,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/578c3a80779fe8a78ce12db0883ba6e6_8368755220549280020.mp3
关于辛焱自己·摇滚,摇滚是从枫丹传过来的，算是新东西吧。不过啊，在璃月挺不受欢迎的，一般人都觉得吵吵嚷嚷，不喜欢听。所以我啊，很感激每一个能来听我唱歌的人，哈哈。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/f7cbf66935132a43cf4e6b67aa636d88_7241832181341840043.mp3
关于我们·观演,来看我演出？哈，到前面来吧！前面的感觉更好。咳咳，那么，璃月港独一份的摇滚现场，现在开始！,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/e19e91e264798434f04605b9ef311239_1001513370778698800.mp3
关于我们·投缘,我还在想为什么和你这么聊得来，原来你不是这个世界的人，那也就用不着关心这个世界的条条框框了——人生就该是这样！繁文缛节什么的统统闪一边去，无拘无束，自由自在。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/35f5980ceae340f82cfa87fc225758dc_8888839176260891236.mp3
关于我们·邀请,我想让我摇滚的音乐元素更丰富一点。其实，你的节奏感很好嘛，要不要试试帮我打鼓？没打过？唉呀，不要怯场，关键是气势。来试试看嘛，你绝对很有天赋的。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/6dfe917f9eccc552f2bcfb2afefb12ab_8822048842803183184.mp3
关于「神之眼」…,会把「神之眼」的火用来给摇滚伴奏的，估计全提瓦特也就我一个。有人批评我，应该好好敬重这种力量…不过，既然神都把「神之眼」给了我，就说明他对我的用法，也是认可的吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/ae306fcdf1c38f2e03cfd039a08967cc_2366155789589259807.mp3
有什么想要分享·命名,这把琴，是我亲手做的哦。本来是按照枫丹的摇滚乐器来做的，但做着做着就不再是一个东西了。我一直想给它取一个好听又好记的名字，比如「焱琴」「碎玉」「定山」什么的，但还是差点味道…你有什么好主意吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/7787f6a38d0a2be422182134833ae564_6184958415373539222.mp3
有什么想要分享·宴乐,欸，你知道「宴乐」吗？就是有钱人在宴会上听的曲子。一会儿唱这个多有本事，一会儿又唱那个多了不起…把音乐用成这个样子，哎呀，一点儿都不摇滚。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/080833b6c17be1adf16ad66cafb393e8_1102058480698568144.mp3
感兴趣的见闻…,我最喜欢的一套演出服，是我亲手用「霓裳花」织的。你肯定也见过那种花吧，红得够激情。而且，和我的摇滚也很搭呢。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/cd934f91f3d53a3c5db2821e76c691af_5900040961822002187.mp3
关于香菱…,我经常去「万民堂」吃夜宵，香菱如果手头不忙，还经常跟我聊天，一直聊到很晚很晚。啊？你问我都点的啥？嗯…其实是香菱做啥我吃啥，哈哈。每次都不一样，味道也千变万化，她可以说是料理界的「摇滚明星」了！,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/06467d07fe1182085a1c6d55fbc37799_1088787265760725165.mp3
关于钟离…,以前没什么人听我的摇滚，有一天他突然来邀请我，说可以去他那里试试，合适的话可以去当驻唱歌手，我心里激动啊，终于有人理解我的音乐了！就直接答应了下来。结果去了场地才知道，他居然是那个「往生堂」的客卿…这明显不合适啊，真是个怪人。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/2c457ddde0adb03894c897b91a87619a_1864578406346470810.mp3
关于凝光…,你知道千岩军吧？他们以前总是妨碍我，说什么这里也不准搭舞台，那里也不准，麻烦死了。咳咳，不过在我找总务司申诉之后，听说那个「天权星」专门修订了璃月的什么…呃…反正是某个规则，划定了演出专属场地，还要申请什么许可。哎…其实还是很麻烦，不过，好歹不用像之前一样，被赶得到处乱跑了嘛。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/fba623be15813c9578a901e0cb38108a_409149939361249058.mp3
关于白术…,白术先生开的药方保养嗓子效果一流，为了答谢他，我在他面前来了一段即兴摇滚，结果…他养的那条蛇就晕了过去。从那以后，那条蛇看到我就一个劲儿地往白术先生的衣领里面钻，哈哈哈。我从那以后才知道，蛇原来对震动很敏感。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/178f32718032483bc64d08ab59c9213a_8740960297291476493.mp3
关于北斗…,她啊，说话直爽，气量也大，聊起来特别投缘。「死兆星」号乘风破浪的故事，实在是太帅了，给了我很多摇滚的灵感。嘿嘿，我还专门写了一首歌给他们。现在，只要我唱第一句，好多船员都能跟我唱下去，都快变成船歌啦。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/90c111558f9f2691af92373856ca293f_7157239392158470021.mp3
关于重云…,他超有意思！看上去文静内向，但有一次演出，他好像是被朋友叫过来，要跟我说什么话。舞台上声音太大，我还没听清呢，他已经一个箭步跳上台来和我一起唱了，还唱得特别摇滚。这就叫「人不可貌相」吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/01/145906584/e5c73297a12c7dd3ad31739490c498f1_2648772157799582288.mp3
