topic,text,audio
初次见面···,我是愚人众执行官第十一席，「公子」达达利亚。而你——哈，也是能招致纷争之人，实在愉快。我们应该会很合得来吧？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/7d2f9bb6168a207e5f7512f240cef7d3_8595065060157718639.mp3
闲聊·闲散,在这干站着，也不会有对手找上门的。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/d6784a390f99920ea2718be9380619ef_2451726172413165653.mp3
闲聊·比试,嗯——附近就没有什么值得一战的强敌吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/4227bdb0cf5649a88671ec43e2baf721_1619704038918988026.mp3
闲聊·愚人众,不知道其他执行官在忙些什么呢？嗯，算了，无非又是那些莫名其妙的「宏大计划」吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/923274b4d7805cc25b57752ea1f05706_5386927153494837619.mp3
闲聊·雪国故土,在我老家的雪原里这么闲站着的话，早该被冻僵了。哈哈哈。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/6a40b8b67d2ebc40ecd75d3663be3a4c_9084134220377178076.mp3
雨过天晴···,雨点打在水面上的声音，会把鱼儿吓跑。相比之下，雨后是钓鱼的好时机。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/356176aa298442694a51af0e6face10a_855106670987230569.mp3
下雪的时候·异国,哈哈哈，不知老家那边，是否也在下雪？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/de1fcb6d097655cc11a0bece3e384b65_30594438778385964.mp3
下雪的时候·至冬国,多好的雪！天地都和月光一样干净，在这样的舞台上泼洒的鲜血才格外炙烈。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/48f0135e35bf5de9b3d11b27dbd3cadb_5516607918437723634.mp3
起风的时候···,啊！风中传来了纷争的气息。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/9df5a00bcd1c45ab29e6e8a608bd4ff4_8021203647375843973.mp3
刮大风了·异国,真是畅快的风！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/d8e2bd10ebb6525ca52249010018dcd9_2189055883888693311.mp3
刮大风了·至冬国,感觉身体和头脑，都被穿过身体的风洗净了。真舒畅。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/9178f590b91254123a335ddbef5656ad_6092360517430555414.mp3
早上好···,哟，伙伴！今天精神不错啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/0a7440b5ff427d35138f975e874ee783_3863577135190011083.mp3
中午好···,你看起来状态还不错嘛，要不陪我切磋一下？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/5825ae864edf21d0378c148229efd283_8380914521911881581.mp3
晚上好···,哈——吃得真爽。活动活动，消化一下好了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/c17fd28935ccb99ab64835fa832316d5_4908656065135763514.mp3
晚安···,真是愉快的一天。明天再见，伙伴！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/2a99025854c674f6eed7a61c1566f627_7154064298290431379.mp3
关于达达利亚自己···,身为战士，要时刻把挑战之心系于刀尖之上。但无论胜败，都是无可替代的珍贵经历。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/889cd095b61dc4b4a7194d829c876141_8725111418877530523.mp3
关于我们·同僚,与你同行的事情，在别的执行官当中，已经传开了吧。哼，真想看看那帮人脸上的表情，哈哈哈。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/889dde75640a5402b548379831aa11ff_2576754437845888124.mp3
