topic,text,audio
初次见面…,蒙德城的迪卢克，应约而来。闲聊恕不奉陪，如果你是想做一番大事，我倒有点兴致。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/20aa35337a455d340d768d078c68b1a2_1350741812985750360.mp3
闲聊·放松,偶尔悠闲一下，也不错。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/adf5981c5cca2827c27aa8b91ba4bafa_484052869323523610.mp3
闲聊·骑士团,应该换骑士团的那些家伙来陪你。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/aae8960c42c402d88629abecb0ed0236_5626181726901545633.mp3
闲聊·行会,行会里还有很多事，你要么在这休息，我回去看看。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/b27047e9e7a2ba92d03aa58f71de1f16_5590130387027318259.mp3
下雨的时候·清洗,雨吗，可惜洗刷不了那些污秽的心。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/29/145906584/81930a269b3c4e1f8af91aa75db75239_1921299136633044262.mp3
下雨的时候·伞,我不用伞，你随意。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/ec10fe1c83369a01a2ff500882d0f6d8_1440159740883704508.mp3
阳光很好…,只要坚信自己的道路，就无所谓天气是晴是雨。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/6dd5ac97525b0813d174ec7d3c7f7266_7337321457245080424.mp3
刮大风了…,呼啸的风声，会被用来遮掩犯罪的痕迹。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/ac4ca1dc063a7a74a8491afefb90bfdf_3663686231171988857.mp3
早上好…,寒暄就免了。昨夜一切平安就好。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/01deea33c05937fe10eb03cf91923fc0_7421401207151659407.mp3
中午好…,想试试隐藏菜单吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/5c692aac9fcdffc448fdc9685e3df361_125853473919022633.mp3
晚上好…,夜晚到了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/35917bab89c604af26a3ee1cce5309c3_1290152796570372298.mp3
晚安…,嗯，下次见。我会目送你安全离开的。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/08506f4312db2b8fb8dd92c360dde1b1_5030478578018476487.mp3
关于迪卢克自己…,「暗夜英雄」的传说吗？有趣的传言。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/6eeae068eef80cec90b9ec4147db622c_1363170457998127474.mp3
关于我们·需要,需要什么就直说。报销问题找埃泽。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/82752be78b6face79de19c8dd5975acb_3810506713062590443.mp3
关于我们·证明,你已经证明了你的决心。那么，也让你见证一下我的意志吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/07/76953456/91a7ad4eb0b62d3b2ab9821e54290311_1727670780313977294.mp3
