topic,text,audio,
初次见面···,「猫尾酒馆」的招牌调酒师，迪奥娜，我的出场费可是很贵的。唔?你居然…不是为了酒才来的?哼，那你的邀请…我就勉为其难地接受了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/7e2e60dc2131c8647e4b201721ad9d10_7451259770016763169.mp3,
闲聊·放松,哈~~好舒服、身体都变得更柔软了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/597f64c448d27c105a7d705706d63cf0_7406325811245798327.mp3,
闲聊·思考,蜥蜴尾巴、胡椒、星螺...还差点什么才能调出「难喝到头脑炸裂的酒」呢?呜…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/4061a4be16a5deb4bdf3737a39948f2c_7485751150978930926.mp3,
闲聊·等待,才，才没有在等你。我只是，正好在休息而已!,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/f7a47adbe145de31fe8fd125207be1b5_5398353158016293881.mp3,
下雨的时候···,呜呜…讨厌下雨…去屋子里吧。唔，只是因为弄干衣服很麻烦!才不是什么怕水呢!,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/eb003aab91b423e58d6992be0be41280_4931210621779388868.mp3,
打雷的时候···,欸? ! 我没有在发抖!没有!… 呜…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/211554efb20603e502e96915b9956553_8311330344991989204.mp3,
下雪的时候·玩雪,这个凉飕飕的触感，哇…好棒，好有趣。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/b98db4b535f0d382d95e8bcf126ade00_6060932810855216932.mp3,
下雪的时候·观雪,白茫茫的雪在风里跳舞，真好看呢。嗯...我旁边的座位还空着，没人坐哦。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/1af1498c434b6664d5dcfbc1482d88cb_8311330344991989204.mp3,
阳光很好···,走喽，晒太阳…你不去我可就自己去了哦…唔，最后一次机会!走不走!,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/210594367eece789641bbce3253eeede_8024092126185314141.mp3,
早上好···,早，把橱柜里那罐腌泥鳅递给我一下一一好咧，我要开始摧毁蒙德酒业啦。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/dc2780c9b8b00e181fbe957111a6fc23_3174881138008404637.mp3,
