topic,text,audio
初次见面···,一份新的「契约」?好吧···虽然我还在度假，但也可以陪你走一趟。契约书上，该签什么名字呢?我有许多名字，度假期间的话···我会自称「钟离」。你呢，旅行者?你会签下什么名字?,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/29530e0e6416a7427054dab88a4c825f_1753377674187457634.mp3
闲聊·旅程,旅程总有一天会迎来终点，不必匆忙。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/eb4449700b7ad48aea7f0f141c2e5e32_8224205484657731946.mp3
闲聊·游览,接下来想去哪里?如果想游历璃月名胜的话，我有一些不错的参考方案。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/281b620f49561edc1c2790f33c2b5867_7343320555739482282.mp3
闲聊·璃月,为「流通」而造的船，遇到港口也会停泊，所以璃月是一切财富「沉淀」的地方。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/2d8b767bf4bfe5a0ae9cc367722c7740_5286508018540625388.mp3
闲聊·怀旧,欲买桂花同载酒···只可惜故人，何日再见呢?,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/12195ac5b3e411bb9754b12ebbdc585b_1147430888770623121.mp3
雨过天晴···,「琉璃袋」这种植物，它偏爱潮湿的环境，最适合雨后采摘。如果发现的话，适当储备些吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/67a68f370242cdb567e57c62c100cc79_8255786145180616024.mp3
下雪的时候···,找个地方避避雪吧。我不会有事，但你可能着凉。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/8f5d3110d1d768f519fb7824a3b800ec_861368625775628592.mp3
刮大风了···,嗯···不适合度假的天气。去听听戏吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/8c1d21e40f8cb8ad614f1bb30e1a3017_27636291179876252.mp3
早上好···,希望今日也有好景气。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/ec487fe404f634f61569c66d55b416da_8957589906670205749.mp3
中午好···,想要吃点提神的?嗯，吃虎岩倒是有爿不错的店···,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/16523a90270e5eb2f063001b227f9f9a_9102769663359873373.mp3
晚上好···,虽然这种时候已经错过了云先生的戏，但夜晚的璃月仍有许多好去处。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/8f1974069fa10690203b420d44473033_6289705960868500276.mp3
晚安···,集市已收，喧闹的码头也已沉睡。去休息吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/b5e0fb8ca9a188082147919735e51936_2250875994478373428.mp3
关于钟离自己···,不以规矩，不能成方圆。不管是常人还是仙人，惟有各司其职，方能保璃月长久太平。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/d9750fa12c54534edd341ed6b64d2fd1_4089780498049772711.mp3
关于我们·黄金,黄金是璃月的财富，是令璃月的心脏搏动的血液。你是否拥有黄金般闪耀的心，就让我拭目以待吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/c1ca62676ed11c15b32c62892acb362e_6785006124842019033.mp3
关于我们·契约,你我既有「契约」之交——那么凡在契约范围内的事，都可同我商量。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/90461c5ee88c08f496b0a913ae2e2b17_3279689603594011371.mp3
关于我们·公平,「契约」之外的事也可与我相谈。毕竟我在这片土地上活了这么久，凡事都略通一二。哦，虽说如此，我也有希望你能为我做的事情。毕竟，这样才符合「公平」嘛。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/826f4f50ef75e48dbeed1de282262291_2952530071451630825.mp3
关于我们·困惑,「契约」无法界定「友谊」、无法丈量「情谊」，那到底用什么才能称量你我之间情感的重量呢?「朋友」，你知道答案吗?,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/abbd9f3bd5faee3e8799bf453721343e_8347275383006249190.mp3
关于「神之眼」···,「神之眼」···也是一种「契约」。须知一切力量皆有其代价，一千种权力伴随着一千种责任。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/18444da9493e0edadde37273c95f914e_5081509556528103467.mp3
有什么想要分享···,「交易」的规矩是「契约」，准则是「公平」。这是订立、遵循「契约」者绝不可忘却之事:倘若失了公平，那契约便成了欺瞒的凭据。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/ccc4115ec35311ef37febf5943c717eb_5212395517685892916.mp3
感兴趣的见闻···,你若去往「绝云间」，便替我采来一束「清心」吧。一束就好。此行的旅费···啊，差些忘了，「契约」生效期间，旅费由你代为垫付。那就有劳了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/3f51022e483e5fcf5698d342735e4018_6406336532994388273.mp3
关于魈···,你说，归离原的少年仙人···啊···直至今日，他仍在履行他的职责···哦，这副「连理镇心散」，请替我带给他。对了，可千万不能让小派蒙偷吃了去，这里的药力···绝非常人所能承受。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/f6b6f8c5ab6842b8786696085579f696_7452973342075587309.mp3
关于温迪···,嘶...好浓的酒气。那个诗人刚刚来过吧，那个和风雅二字搭不上一点关系的酒鬼诗人!你这里···唔，被他诱骗着灌了酒，话也说不清了么···你等一下，我去沏一壶「醒神茶」，只需三个时辰便好。你等一下···,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/ebd1caf4f97f1dc61c7a6a2a52b9164c_2102624569680201336.mp3
关于凝光···,即便每日经手的事务千条万缕，她仍不失进取之心，实属难得。让我想起，彼时的她赤着脚从瑶光滩走到南码头，一路叫卖货品的样子。时间对于常人，真是残酷···,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/fadc60e8bb6716dfcbaf642ccc3a99f3_7876982651625497931.mp3
关于胡桃···,当代堂主?嗯···那孩子，我应付不来。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/3447452b06ea2c774dd0753d6dabd59e_156871558309826455.mp3
关于达达利亚·沉着,那位来自至冬的武人，还没离开璃月吗?没关系，要是他找你麻烦，你可以唤我去应付他。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/c7669abb8f177b81c926f408da9cdf14_2539287819479180773.mp3
关于达达利亚·酒桌,听说「公子」最近在愚人众的风评又变糟了不少。但像他这样的人，一定会用积极的行动去扫清那些对他的怨言吧。嗯···这样想来，下回酒桌上又有不少趣事可以听了。旅者，你也一起来吗?,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/617a2cab9ed95e4760d585222329aba3_6632098039669824794.mp3
关于甘雨···,璃月这个国度的繁荣，靠得绝不仅是「岩王帝君」的神谕，而是无数响应「契约」的岩神子民。在这之中，甘雨已是就职时间最长的一位了。关于她的往事···我怕她怪罪，让她自己和你说吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/2313151f3fde41a74ba43959f98284f1_27636291179876252.mp3
