topic,text,audio
初次见面···,我是阿贝多，西风骑士团首席炼金术士。 我对你身上星海的气息很感兴趣，想要就近观察研究。相信以后我们会有很多独处的机会。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/1f33be57ce16e3499ffb9d70e0710b52_4032020183294075006.mp3
闲聊·写生,风景不错，趁着休息，就把这一幕画下来吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/6cf5334f856924b1e0ded85a22523aa2_950636657659626229.mp3
闲聊·探索,「世界的真相」究竟是什么呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/24df8ddcf8b9e83e875a082f3234c6df_6914889465796813264.mp3
闲聊·怀旧,用自己的双脚丈量土地，将「未知」变为知识。···这种感觉，真怀念啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/fecf57c3b58574e2af66948d8e502f1a_6212199826685265009.mp3
下雨的时候···,土壤湿润，适合采集爆爆瓜的根。没事，我来动手就可以。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/e88970ec0922ccc51f46dab464757e80_5974871208718366788.mp3
下雪的时候···,师父···,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/608feba5782b4cac42c18be0c46134be_2486305996344541181.mp3
阳光很好···,光线充足，生物行为活跃，嗯，很适合写生。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/b4ccd4af6c917e83f9f6629f4aead957_7682374192114430021.mp3
早上好···,早安，是准备出门寻找古代遗物吗?,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/7af23db4736aebb464e27f00666da6e5_6087233360358037854.mp3
中午好···,午安，我听到了你的脚步声。工坊之外真是热闹啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/e8bd0efa07c5fe6422417ca14b38e596_9100204848518556182.mp3
晚上好···,外面安静下来了，呼。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/822b9b30ae57e31e5b141b6ce2407644_5264778716315015968.mp3
晚安···,晚安，你先去休息吧，我打算把最后一个实验做完。既然你那么感兴趣···明日再会时我再与你一起探讨实验结果吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/7a7082a7d0437f7bf87dcd88ffbed5ae_2878661551459797884.mp3
关于阿贝多自己·天才,天才？···不少人这么称呼我。其实，我不这样认为。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/1fd7e1bade1776774a29b6bcfc0036a2_1100501160163083361.mp3
关于阿贝多自己·人际,与人交往···很麻烦。一旦开始就要不断维持，如果联系中断了，想再重新恢复，就得消耗更多的时间。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/a7f5f12b761d222d7251b9e184e2847f_6873422653481998114.mp3
关于我们·实验,你···这是准备陪我做实验吗?呼，真荣幸。 啊，不用紧张。我的实验虽然危险，通常不会伤及无辜。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/c0238528ff0d675adf9539fe746b7fdd_7329990344104308788.mp3
关于我们·助手,能麻烦你当我的助手吗？鉴于你旁观了那么多次，想必早就熟练了吧。放心，我在你旁边。就算是第一次实际操作，也不会有问题的。我相信我的指导能力，更相信你的天赋。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/c407776a9c55df5af9600612cd96d009_4185109307840113506.mp3
关于「神之眼」···,「神之眼」？不过就是个实验用的工具罢了，和烧杯、坩埚没什么不同。唯一让我感兴趣的、就是它的原理···我总有一天会研究明白的，这只是时间问题。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/007034ebf9fcae7f4a57dfdf2b15d314_5438942819859053771.mp3
有什么想要分享···,一直有些难以开口，因为假设被你拒绝的话，我可能会失落吧··· 嗯···我对你身边那个飞着的小家伙很感兴趣，方便让我拿去研究一下吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/4359827/b85c0a46a842a15672faa6eb7f94df31_3875448029359337424.mp3
