topic,text,audio
初次见面···,你的气味···好闻。一起狩猎吧！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/57f9b19a37c5673217de757ba631e490_7726149022378478606.mp3
闲聊·气味,唔，兔子的味道…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/517b0600eacd039c33d9a10535550b9a_5216473237197742422.mp3
闲聊·饿,走吗，肚子饿了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/88904b5e2e76c4f2fce796dcb6457911_3444549565503442091.mp3
闲聊·望风,我去望风，走了叫我。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/3e8786edeef356d9196e45c874a10fa3_4807634799787695756.mp3
打雷的时候·提醒,怕就快点躲起来。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/1086efb96b2a60fadb37b796d6fc69f9_5000935986904234368.mp3
打雷的时候·带路,避开树，跟我来！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/be40592d456332e8571a06e18b148d2b_8164621026401278075.mp3
起风的时候···,风...唔...舒服。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/04b84b846c65b76912dfb173086109a4_3264715228737457486.mp3
刮大风了···,风…嗯，扎扎的，有点疼。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/b11e419d1a1bd730d47067b1b544ea35_4274509520204033697.mp3
早上好···,太阳出来了。狩猎一起去？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/2e6771235aa84479ce589c61d04a6f51_533998407141489378.mp3
中午好···,大块吃肉，开心！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/48b2801bb59f3bd3aad593b5e35ae0ce_1559202963321504324.mp3
晚上好···,你去睡觉吧，我看月亮。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/0ef82761eb9abcb4804c1312212e11f5_6306305586793393194.mp3
晚安···,你睡觉，我看守，明天一起狩猎。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/a2a871454cc9e918bfcfc9e0c100942d_5469787830297433441.mp3
关于雷泽自己···,我是狼。人的爸爸、妈妈，没有。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/3ba83699f42c7645519ceea48139fca3_6094599602464926277.mp3
关于我们·朋友,你是朋友，我和你一起狩猎。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/cace6fa8267b7c3b9acaa3646f81f7bf_2687407963991562954.mp3
关于我们·武器,我有铁的爪子和雷的牙。我保护你。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/f2c87dbb81d0ea96a5060aa8a1adecf4_4274509520204033697.mp3
关于「神之眼」···,「神之眼」，师父帮忙。雷的牙打架，保护「卢皮卡」。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/7d7e2077c99a37c4eda6addf63cb280a_1860906193092710124.mp3
有什么想要分享···,"晚上，星星很好看。天空，湖里，都有很多很多星星。 晚上，城市里，也有很多星星。",https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/72de102a3800615d68a6fa4eb13081d5_9115067665911302909.mp3
感兴趣的见闻···,我的「卢皮卡」的狼，它们是家人。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/a1ae7d15e10f383803f85b335563c11b_7816916288865429114.mp3
关于丽莎···,师父的雷，天空会变黑，很可怕，很强。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/53e76868bbcba2263e1f75df102dc4a0_35703664009776672.mp3
关于芭芭拉···,芭芭拉，亮晶晶的女孩子，很善良。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/c057ab3079dc0561022376329b50e0fa_2270230176128789599.mp3
关于迪卢克···,迪卢克，红红的，黑黑的。又冷又热。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/afe064610bb724b08ef252068c7d0126_5645947838025826333.mp3
关于温迪···,诗歌…嗯...不明白。虽然不明白，「卢皮卡」喜欢。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/c76cc1f4804fd7d88dff275bb247f886_6837790905596636510.mp3
关于班尼特···,班尼特，话很多，和他一起，吃不饱。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/7eacc004a411e81a8308e5cdad848f5a_5303718053584693336.mp3
关于可莉···,可莉，朋友。朋友，但是，头疼。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/4175bab425b2b8c6302e5176f5c41908_6837790905596636510.mp3
关于法尔伽·陌生,法尔伽？不认识…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/2bb77b1e929baed0fd089db8cbd49021_7197261544615993048.mp3
关于法尔伽·回忆,哦…法尔伽，是名字。那个男人，高大。雷泽名字，铁的爪子，他给的。唔…想见他。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/1663c168dc424626d50401c8674e6fa5_5264001542114018579.mp3
想要了解雷泽·其一,你的气味，善良的味道。喜欢吃肉？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/5f175096748076de438cbbd77c3ebe9f_4303085747327716339.mp3
想要了解雷泽·其二,你很强。和狼一样强。喜欢和你狩猎。收获很多。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/7103cfae72ca272120b751ddc6b1e7a4_5336838392223986677.mp3
想要了解雷泽·其三,"卢皮卡是「狼的家」。不对，是「狼的家人」。 我的卢皮卡在树林里，它们保护我，说我是「卢皮卡」。",https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/fffc22b991367175a22cb1f7875f6df2_1224493522365376833.mp3
想要了解雷泽·其四,"我只有「卢皮卡」。 有时候心里难过。",https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/fb0f569de06d2e6229df28f61076199e_1094253943015292717.mp3
想要了解雷泽·其五,"和你一起奔跑开心，和你一起狩猎开心。 你是朋友，你是我的「卢皮卡」。我想要你也开心。",https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/cc651697b6a307d55fcc2d4537259720_8704303393042040496.mp3
雷泽的爱好···,喜欢「卢皮卡」。喜欢树林。喜欢朋友。喜欢奔跑。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/740eec4900d2fd6a466b407a31986395_1094253943015292717.mp3
雷泽的烦恼···,说话很累，很难。但是，不说话不行。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/00da41f921b32211adf4312540acc240_5306025386940668363.mp3
喜欢的食物···,喜欢肉。喜欢土豆。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/868939c7ebcc2cadb88343a05ad77d39_9070972101767095475.mp3
讨厌的食物···,蔬菜不好。我吃的肉才吃菜。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/2adb78edbacc2e693a204060d342c481_7420910672071657349.mp3
生日···,今天是你的···你是在很多很多个月以前的，今天出生的。想和你一起开心。今天一起吃肉。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/abac478be011ce3b7e514168887b4619_979190879017661370.mp3
突破的感受·起,手臂，更粗了…？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/ee357abd02dfe7b819c357cd36e93c8c_7420910672071657349.mp3
突破的感受·承,磨爪子，磨牙，要更强！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/9fc020f7edd980295e48187ed283f8a6_916527159224222349.mp3
突破的感受·转,跑，狩猎。不够，不行！我要…更强！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/7603a3a0723baf1b77a5cec0673bcab7_5449674629530871914.mp3
突破的感受·合,牙齿，爪子，腿！更强，更有力气…保护你！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/27/4359827/770b87a6bd9cb717c829887c110aea40_2658979666676041122.mp3
元素战技·其一,走开！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/6521e5e7d90d8e42332745909270014b_4641138122415035130.mp3
元素战技·其二,啊！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/af062345c2f1d54797a45224e9b91091_2806332607837072863.mp3
元素战技·其三,嗷！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/d135496718c00098aaaa697952888a6e_89795466317487021.mp3
元素战技·其四,别过来！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/4aef3110ba2b0e4ac89b68dc593a0942_7387065453569533265.mp3
元素爆发·其一,嗷——,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/b5151211a9b1e2f1247deb40610fcc99_8772797398285391768.mp3
元素爆发·其二,Blitz！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/c4c9b6fe66482cab18be71282e842e5d_9194189293373227985.mp3
元素爆发·其三,嚎——,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/24ad1e503cd01bdc56e682cff8e5f815_183052583475428028.mp3
元素爆发·其四,啊——,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/292603c9d843b965281736a353a4aeb8_4037383792680118969.mp3
生命值低·其一,疼。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/a725316ae517fdc2b46c899b33241b94_4231263162253199647.mp3
生命值低·其二,嗷——,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/e665577e5225c63012a6ffe091608922_4195126987561042619.mp3
生命值低·其三,杀了你！…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/0b5869626e2113d146a289299f7a9056_8943614142176256823.mp3
倒下·其一,唔，好难呼吸…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/ee6129b5bb193484c4262ec6684b55d5_2285362641496883886.mp3
倒下·其二,想回去…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/6adb9acdd1f8ec3a11f83e0012b5260a_6124308122136990885.mp3
