topic,text,audio
闲聊·徒然,徒然无事，对砚枯坐。哼。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/01e716f7f29e60c738667eec671da11f_5610884482284494225.mp3
闲聊·浮世,浮世景色百千年依旧，人之在世却如白露与泡影。虚无。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/8ea71b33c103cd23102bb07b63fa0df0_4488049195083094319.mp3
闲聊·花鸟余情,无人相陪，此般花鸟余情，也不过衬托我身不移不变的背景罢了。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/55cebe96e06de23f03aa21112114f964_5069732911624368625.mp3
初次见面...,无须行礼，此身虽然尊贵殊胜，不过此般前来，是想要做些微服游历民间的事。我看上了你的身手，现在你就是我的御侧保镖了。不用担心，遇到危险，我会出手的。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/8ab5de6ed6aabb0066ea8638e3135dab_5713165706172635512.mp3
下雨的时候...,只是雨滴有什么麻烦的。这还没有打雷呢。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/eab07e8060ac0747d02b3ef01d75b29b_7635056223285053709.mp3
打雷的时候...,哎呀，你不会怕了吧。明明此世最为殊胜最为恐怖的雷霆化身就站在你身边。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/2f1f66e89f93315df47ae70f9bb48ac0_3799967913492663377.mp3
下雪的时候...,冬将军也来了。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/bd34e4fdcbdfe9a1193cc46ab2451cd1_7913698111212884044.mp3
晴天的时候...,天晴也并不能掩盖雷霆的威光。不下雨也可以降下神雷，看到那棵树了吗?你说你懂了，叫我停手。好吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/b942c3d070bbc5c6f30e5910b5aa2a37_4755665859029901673.mp3
早上好...,道完早安就打呵欠，太懈怠了。我这次就赦免你的无礼了。早安。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/21d9d9f3dd9231d1d4ab948e0dc59c80_7050722391666438288.mp3
中午好...,啊，想吃甜点心。嗯，为什么不行?什么叫「哪有这个时间吃甜品的」。之前是因为他们看我是将军所以惯着我的?这样啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/ead8e7a3ab2ea04ddc3d5bc0c8ceace9_860960236131132431.mp3
晚上好...,你想知道夜晚流星的真相吗？哈哈，真相其实就是飘渺须臾的一瞬天光罢了。嗯，你说其实是你？你也是天狗吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/b51ec76a9f8dd3f96a057559b7ee6c67_6215832971906118914.mp3
晚安...,我命十方世界雷鸣平息，愿你今晚得享安睡。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/0b515a68ea20c197fa6607dc6a1e6b78_1487889611496863099.mp3
关于雷电将军自己·须臾,雷鸣闪电，一瞬即逝。正因如此，才会想要撷取「永恒」。不，才必须掌握「永恒」。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/2873ca89f8f78307610e98d950051eac_7913698111212884044.mp3
关于雷电将军自己·永恒,「磨损 」是一件很可怕的事情。此身诞生的意义，就是承受磨损。这样，或许「内在」就可以触及永恒了吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/482bffecbaff592b6e81604c60bfc627_2422132509368415014.mp3
关于我们·奥诘众,现在你是我的侧用人，换言之，依我判断，你是对幕府有用，对我忠诚的人。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/a0c3e95ff377ebbacee2351aa1b3de36_7426565778043522824.mp3
关于我们·用心棒,虽然是微服出访的保镖，但是我遇到危险不用替我挡刀了。将军她构造还挺结实的，坏了还能替换呢。所以遇到危险把将军她推到前面就好了。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/47a9bf7fb14382f65c6bfc5cd98c1e6a_4903842609592570227.mp3
关于我们·直传,稻妻的薙刀术和剑术以及锻刀技法，基本都是由我直接传下的，随后因人资质不同而分枝开花、各自结果。如何，再接我一刀?还能无事的话，许可你在稻妻开宗立派哦。啊，武艺的精进真是叫人欲罢不能。,https://uploadstatic.mihoyo.com/ys-obc/2021/09/07/7531033/0116ae1b209a976f1b716f22b980e6c4_4139748414577349922.mp3
