topic,text,audio
初次见面···,"我是来自璃月的厨师香菱，最擅长的是做各种捞···捞，料理···哎呀，练了那么多次，还是会紧张，嘿。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/1caaab0c9a8f670b09e8efaed580640a_2350196860614315511.mp3
闲聊·点心,"要吃点点心休息一下吗？我准备了一箩！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/d4fedea91d123b6d70bf361a95474591_6673307035456561171.mp3
闲聊·火史莱姆,"火史莱姆，是椒盐···还是做成蒜香的好呢？</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/92c24d0546c09f2b8e09e34a5b2ad106_7533461868295846934.mp3
闲聊·觅食,"闲着也是闲着，还不如一起找找食材去~</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/8d05ec202b540f1ed9e2a7f593d5faea_6727958089799905703.mp3
下雨的时候·态度,"嗯···我不太喜欢雨天。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/b88d0ca84705a1668723fa40c8fe1ecb_2329360289853994118.mp3
下雨的时候·疏忽,"我想想···今天有没有晒衣服出去···</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/943d1ea9b810b120d4ac8cedd2a4c9fb_8584570649379506348.mp3
雨过天晴···,"走走走，我带你去找松茸！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/605526d219b3f9918d327c369eaef15f_4992104638222147015.mp3
起风的时候···,"风史莱姆最喜欢在这种天气活动，快趁机多收集点儿！我给你做史莱姆沙冰！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/182625b2cabf975530d5e74a8f5b9c77_2254294070581569609.mp3
早上好···,"来得正好！一起去补充点食材吧？</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/c1b2fa08ed90dcbf8e3f1a58ab9a2eb3_6160519405329854017.mp3
中午好···,"午饭已经做好了，快过来吃哦！啊呜···来晚了可就没了。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/f39f930cf812003c400d82c58eeccf63_6854500955323029742.mp3
晚上好···,要吃夜宵吗？我这正好做了串炭烤岩蜥蜴。哎呀，别盯着了，快尝尝吧！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/4a6251775de727b7121e5590125854ea_2093790591732638150.mp3
晚安···,"喂···你不会是想背着我偷偷吃什么好东西吧？哦，只是休息啊···嘿嘿，那晚安喔。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/9e7f8057bf2d2594217e29b4b20d3f01_5140673723237377768.mp3
关于香菱自己···,"你见过蒙德城的龙？有多大？哇，不是吧。那要是做成龙肉排——嗯，该有多棒啊！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/88b56b7de4e6677a6501ff555ab1b208_4194626160488537582.mp3
关于我们·长处,虽然比起认路我更擅长做饭，但···不管啦，出门喊我准没错！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/e482eca568620aea4940e19fb7908cce_5916531288798268274.mp3
关于我们·新知识,"自从认识你，我好像学会了不少料理以外的知识。欸？欸···你问我都有些什么？嗯···嗯···你突然这样问，我又有点想不起来了。算了算了，我原本就不擅长这些，还是给你做两道新菜尝尝吧！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/fdf402a5900257552862d483e26017e9_2762170748002296619.mp3
关于「神之眼」···,"无论什么时候，我都要做出所有人都爱吃的料理。神一定也认为这是正确的事情，才授予了我这个连大师父也没有的「神之眼」···唔，怎么说来着···哦，以资鼓励！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/cea71d602a9ec71e075d14980f8bade4_1421977615107650369.mp3
有什么想要分享···,"如果拉肚子了，喝一杯霓裳花泡的茶就会好的！欸？我懂一点食疗方法也不用奇怪吧！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/a6034ad62fdbe1c9c912f40a80454b60_5277022524231703418.mp3
感兴趣的见闻···,"我喜欢洋葱！···我试过十几种切洋葱不会流泪的方法，没一个对我有用。但这也阻止不了我喜欢洋葱！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/c5f835ced9265558eedbdd1c7f0feec7_857216073496601561.mp3
关于白术···,"嗯？我闻到了雾虚花的香气！！是白先生，白先生来帮你看病了吗？你是哪里不舒服，头晕还是胃疼？还是嗓子痒？还是没力气？哦···没生病啊。那还好，不然白先生会给你超——苦的药哦。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/83e3510c5e4e6b0726bb92a426be5204_5307080898356736251.mp3
关于凝光···,"哦！刚才那个，是天权大人啊···嗯，你凑过来点。再，再过来点。我跟你说哦，她可是一个特别厉害的人，港内的事情她什么都知道。所以，你也要小心一点，不要被她盯上了···</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/c63107526768c78a404a35fd7d5e7b5a_8504869160333248058.mp3
关于胡桃···,唔，你是不是也被胡桃欺负过？她老是趁我不注意躲到我后面，这样突然拍我的后背，得逞了还嘿嘿地笑，哼。但我大人有大量，看在她每次都会给我带酿梅花做鲜花糕的份上，才没跟她斤斤计较。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/385b4f6093307a2589b8bc24eab1d6b5_6772044814386877181.mp3
关于迪奥娜···,清泉镇的迪奥娜！啊啊，听说她能调出特别好喝的酒，我专门拜访过她！想着如果能把调酒的秘方借鉴到料理上，说不定也能做出美味。但是，她给我的秘方，比如啤酒里泡蜥蜴尾巴，蒲公英酒里放小块熏鱼···做出来都不是很好吃。呜，果然还是要靠自己吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/9c6df60820741f174965a85eff3fe0ca_6002841140302648556.mp3
关于北斗···,"北斗姐姐人特别好！跟着她出去航海的话，每次都能捕获到好多新鲜的食材！章鱼脚拿来煲汤最好，海天青就要用辣椒好好炝一炝。不光北斗姐姐，「南十字」的船员们都很喜欢我做的菜呢。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/667c5bcfc94b84c438b6140d64133f05_5852636502932688923.mp3
关于钟离···,"我遇到过不少挑剔的食客，但像钟离先生那种嘴巴上讲究，还能一针见血的，真的就只有他一个！那天我给他上的第一道菜是「椒盐豆腐」，他只尝了一口，就问我用的是什么盐，然后又说什么「不妨试试孤云阁浅海处提炼的海盐吧，它的层次感能够为豆腐赋予更多的鲜味」。我试过之后味道真的大有不同。你说，他是不是好厉害！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/ffe612a497b8a889726b826a73e51a28_3357745573007391679.mp3
关于重云···,重云啊，他总是跟着行秋一起来「万民堂」吃饭···呃，或者应该说，是被行秋拖来的？但是重云不吃热食。每次热菜上桌，行秋就会客客气气地说一声「失敬」，然后动起筷子逐一评点起每道菜的美味之处，他那夸得呀，我都想冲过去尝一口！你是没见到重云那种眼神，哈哈哈。还挺有趣的呢，他俩。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/8ba52bff388b4ae5f0b018c0f77dea92_1967661721213255927.mp3
关于甘雨···,"甘雨？嗯···啊啊有印象有印象，是那位只吃素食的客人吧！她来「万民堂」的次数不算多，每次都是一个人躲在小角落里不吭声地吃着饭。我嘛，看她孤孤单单的有些可怜，就总帮她多舀两大勺菜。没想到，她每次都能全部吃完！真是不可貌相。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/98b1ddc08373a274b883f1b8fee8a5fd_5492716208526144334.mp3
关于瑶瑶···,"嘿嘿，她啊，是我引以为豪的小师妹喔！不过呀，她很久没来「万民堂」玩儿了。是大师父放心不下吧···哼，明明生的云来大章鱼那么好吃，瑶瑶上次不光不让我吃，还叫上大师父一起训斥我，呜···有时候真不知道，到底谁才是师姐了。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/63a434b3ee05fba85f4287854b5fa961_6895464632708262979.mp3
关于辛焱···,"辛焱经常来「万民堂」吃夜宵喔！像行秋、重云他们不敢尝试的新品，辛焱就会毫不犹豫的下筷···而且有八成以上的概率喜欢！哎，真是很不错的人呐。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/90ff98204d6f53bfeeb532ba278ba47b_2891319671797898303.mp3
关于夜兰...,夜兰姐?我当然记得她啦。第一次见面时，我还猜她会喜欢那种清淡的菜式，没想到她是我见过最能吃辣的客人!菜肴里的辣味她觉得不够，居然把绝云椒椒直接嚼来吃!真了不起。,https://uploadstatic.mihoyo.com/ys-obc/2022/05/06/184753361/b7be6031d529471f54106e9d925f5234_2916108463606661159.mp3
想要了解香菱·其一,"烤鸽子肉，来两串？哎呀~尝尝嘛。加了我的独门秘方，绝对跟其他家的不一样！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/ffad6c542bf28e41fb479596b45145e6_2736638360548167109.mp3
想要了解香菱·其二,"大师父教我的枪法，很厉害吧？你想学的话我也可以教给你哦！不过说到这个···要是你愿意跟我学厨就好了！我的这些技巧和配方，要流传得远远的才好呢。</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/6c3e2091dc5e85ab6ebb37bb889319df_3622967862326069316.mp3
想要了解香菱·其三,"问我的愿望吗？那当然是要创造全新的新菜系！璃菜和月菜都是有极限的。哦，关键一定在于辣味吧！事不宜迟，让我爆炒个锅巴辣椒给你尝尝！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/582d7b1f1578aa6752d9620ade139d07_3381078513435516597.mp3
想要了解香菱·其四,"嗯！我看你已经快被我的厨艺征服了嘛~是时候给你品尝我苦心研制的新菜品了——七彩琉璃大煎饼。喏喏，这薄薄一层蛋皮里面包着红色的松鼠火腿，橙色的胡萝卜，黄色的太阳蛙肉，绿色的嘟嘟莲，蓝色的蝴蝶翅膀···呃？真的不想吃吗？</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/6eb47401311d09ecb7a78387984acf16_7299674267314381590.mp3
想要了解香菱·其五,"我···有点想不明白，明明以前睡一觉就好了的，这可不是我的风格。啊呀，不行！还是让你来想吧！嗯···我很想让你一直试吃我的新菜，但不知道从什么时候起，如果你吃坏了肚子，我也会特别难受。我，我到底该怎么办呢？</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/cc070cdb2fcdc7fcc1fb316f00af61bd_5983145892220027150.mp3
香菱的爱好···,"看着点哦！像这样烧热一锅油，然后，把去掉翅膀的晶蝶这样放下去炸···哎呀你别走啊，超香的啦！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/2771f93330dc2fc9421973a1c32d915e_8343062004930774187.mp3
香菱的烦恼···,"呜，史莱姆滑蘑菇一份也没卖出去。就因为卖相不好吗？口感明明很棒的呀···</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/13525e5c1689b3292de45e598472fde5_5928783746826155149.mp3
喜欢的食物···,喜欢的食物呀，那当然是尚且不知道味道的新菜啦！欸，我这样回答很狡猾？呜，明明说得是实话嘛。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/d3f3f5a6f7b3ad145d17dc9c24214634_6907816655600099650.mp3
讨厌的食物···,"我是不会对食物有什么偏见的！只有不合适的做法，没有不合格的食物！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/1aea18ed258db4686761ad3a444c463b_3903366023744729216.mp3
生日···,啊，找到你了！快来，我给你做了一整桌的菜喔！嘿嘿，不用急着夸我，先等你尝过味道再慢慢说吧！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/e08923023117b0f24399639cf6e78ec5_8582872172758488814.mp3
突破的感受·起,"呼哇~！好爽！全身上下都充满了力量！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/14e477222850fa85e59daabfbf073108_2893280035544056384.mp3
突破的感受·承,"嘿、哈！好！一拳就能把野物打晕···保证食材新鲜！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/884bd78dd97831a7c6695fc35685bc95_4420992798413142114.mp3
突破的感受·转,"有这种力量的话···终于可以······不好，口水要流下来了！</p><p style=""white-space: pre-wrap; min-height: 1.5em;"">",https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/e0b4fa9e2fe53cd441f1173a0246e328_1966434565730814900.mp3
突破的感受·合,父亲曾经说过，「想做出十分的菜肴，就要投入十二分的热情」。我懂的、我懂的！能走到今天这个地步，一定是因为有你付出了十二分的热情陪我练习。嗯，那我也要再加倍···用再加倍的热情来回应你！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/12/4359827/9e6221ae146bd94be6927c9d9190c612_1949987015570573062.mp3
元素战技·其一,锅巴，喷火！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/743dcce23d3965fa1e4dbb8e86665541_9159208967812020961.mp3
元素战技·其二,热和热和嘛。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/2c345f2898d15f237e798d26c0c4f3dc_4454370236348104982.mp3
元素战技·其三,开锅了开锅了！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/1694b01d8e57a1e5efc5871898d96477_5597798269204906891.mp3
元素爆发·其一,嘿…哈！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/fcccb3e4d041735b2fee37f28ead1720_3309881633816122209.mp3
元素爆发·其二,讲不通，就打扁咯！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/a418f45854c28edcfc99ae100583842e_6769045240198541338.mp3
元素爆发·其三,见识下师父的枪法！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/71c659b96902b15ba5496fa33be157ec_3564905096026866267.mp3
冲刺开始·其一,跑起来跑起来！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/c3b8dfd6ae2a9321f109b28aa0c8590d_4199055391619114055.mp3
冲刺结束·其一,肚子岔气了…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/b65e907a08017f54939925f56a06fb23_2375183137280657742.mp3
打开宝箱·其一,是新的食材！,https://uploadstatic.mihoyo.com/ys-obc/2022/01/18/291696164/1b1b8af51bb00f948bd8b2021b666f9e_2981799990822244099.mp3
打开宝箱·其二,大丰收大丰收！,https://uploadstatic.mihoyo.com/ys-obc/2022/01/18/291696164/5db440575e23d540629f87957a854219_6756510650112153552.mp3
打开宝箱·其三,我会物尽其用！,https://uploadstatic.mihoyo.com/ys-obc/2022/01/18/291696164/f4745c962651dbc7f0ddc588481ae48f_2159382227382363740.mp3
生命值低·其一,呜，今天的食材好凶啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/bbe7f1dc9482a61f8a99468b7aba73e0_422039677368666376.mp3
生命值低·其二,哎呀，疼疼疼…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/e18196ec9c61c208b59793b4fc6960e2_5357880707716059272.mp3
生命值低·其三,我是不是惹了个了不得的家伙！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/bc98693b0699f651873fa4d9a6b94b94_4244358648651744716.mp3
倒下·其一,搞砸了呢…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/400216ac389900ee8b4810e1f9b3f23f_975491904684651884.mp3
倒下·其二,突然…好渴啊…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/8a72542deb2b72d677031827cf00e7d9_5713126073386314513.mp3
倒下·其三,是不是…连累你了…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/9dbb583d6de3a7760078c8b0698906be_670553757867881816.mp3
普通受击·其一,不要打我,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/13595033ebf913c26cd19c9f9ca44676_3085257683802259126.mp3
重受击·其一,救命啊，食材打人啦！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/d695b89736036f6d1686093c29b33791_8259875299253956710.mp3
重受击·其二,还挺疼的唔…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/9fd870fa6587b6bec0aea4ee935e503d_1341361566838724288.mp3
加入队伍·其一,佐料带全了！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/37eaa84a6084cbf4fe053ffc834caac8_8379752931456991021.mp3
加入队伍·其二,长枪磨亮了！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/0d56127d25575aa7a58d6f2ee149d350_331878950118179195.mp3
加入队伍·其三,一刻都不想多等！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/bc0c94fca23fae7c770486765c560fa0_7510592417373187333.mp3
